Name,CAS #,smiles,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),Reference,Comments ,Notes,Year of first disclosure,MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
Cyanamide,420-04-2,C(N)#N,0.78,17.0,,0.8,0.43,"R. OBACH, J. TORRENT, H. COLOM, J. PRUGONOSA, C. PERAIRE AND
J. DOMENECH. PHARMACOKINETICS AND ORAL BIOAVAILABILITY OF CARBIMIDE IN MAN. BIOPHARMACEUTICS & DRUG DISPOSITION, VOL. 12, 425434 (1991)","CARBIMIDE. Clearance a bit variable but within good agreement. N=16 in 4 groups receiving 0.1, 0.3, 0.6, 1.0 mg/kg. Data taken as average of all groups. MRT from VDss and clearance.",,1886,42.04,2,1,49.8,0,cationic,-0.82,-0.82
Hydroxyurea,127-07-1,NC(=O)NO,0.52,1.5,1.0,4.8,3.4,"Rodriguez GI, Kuhn JG, Weiss GR, Hilsenbeck SG, Eckardt JR, Thurman A, Rinaldi DA, Hodges S, Von Hoff DD, Rowinsky EK (1998) A bioavailability and pharmacokinetic study of oral and intravenous hydroxyurea.  Blood 91:1533-1541",,,1908,76.05,4,3,75.3,0,neutral,-1.5,-1.5
Fomepizole,7554-65-6,c1(cn[nH]c1)C,0.35,0.73,,7.94,4.42,"KENNETH E. MCMARTIN , C. SIMON SEBASTIAN, DAVID DIES , DAG JACOBSEN. Kinetics and metabolism of fomepizole in healthy humans. Clin. Toxicol. 2012, 50, 375–383","N=5, average weight assumed to be 70 kg. 7 mg/kg = 85.3 umol/kg (MW 82.1). Data digitized from plot reported and analyzed via PKSolver. AUC reported 1880 umol.h.L-1; calculated 1953.3 umol.h.L-1.",,1930,82.1,2,1,28.7,0,neutral,0.72,0.72
Dalfampridine,504-24-5,c1(ccncc1)N,2.6,9.3,1.0,4.7,3.6,"Donald R. A. Uges, Pharm.D., Yung Jai Sohn, M.D.,* Ben Greijdanus,Arnold H. J. Scat, Ph.D., Sandor Agoston, M.D., Ph.D. 4-Aminopyridine kinetics. Clin. Pharmacol. Ther. 1982, 31, 587-593.","4-aminopyridine. N=9 (7M and 2F). 71.6 kg average weight, 20 mg dose.","Donald R. A. Uges, Pharm.D., Yung Jai Sohn, M.D.,* Ben Greijdanus,Arnold H. J. Scat, Ph.D., Sandor Agoston, M.D., Ph.D. 4-Aminopyridine kinetics. Clin. Pharmacol. Ther. 1982, 31, 587-593. Approximately 90% excreted unchanged in urine.",1915,94.11,2,1,38.9,0,cationic,-0.12,-1.4
1-Aminocyclopropanecarboxylic Acid,22059-21-8,[H]N([H])C1(CC1)C(=O)O[H],0.73,1.5,,7.8,5.9,"Cherkofsky, S.C. (1995) 1-Aminocyclopropylcarboxylic acid: mouse to man interspecies pharmacokinetic comparisons and allometric relationships.  J. Pharm. Sci.  84: 1231-1235.",,,1922,101.1,3,2,63.3,3,zwitterionic,-0.66,-2.4
Methimazole,60-56-0,CN1C=CNC1=S,0.86,3.7,,3.8,2.4,Hengstmann JH and Hohn H (1985) Pharmacokinetics of methimazole in humans.  Klin. Wochenschr. 63: 1212-1217.,,,1896,114.17,2,1,15.3,0,neutral,-0.12,-0.12
"Pyrazine, 2-diazohydroxide",103829-56-7,N(Nc1nccnc1)=O,0.31,15.13,,0.29,0.38,"Supko J, Balcerzak S P, Kraut E H. Phase I evaluation and pharmacokinetic study of pyrazine-2-diazohydroxide administered as a single bolus intravenous injection in patients with advanced solid tumors. Cancer Res. 1993, 53, 4843-4849.","Data averaged across 5 doses and 16 subjects. VDss, clearance and MRT as well as t1/2 reported. 1.73 m2/70 kg conversion factor used.",,1986,124.1,5,1,67.2,2,neutral,0.22,0.22
Foscarnet,4428-95-9,OC(=O)P(=O)(O)O,0.5,2.1,0.85,4.0,4.7,"Aweeka FT, Gambertoglio JG, Kramer F, van der Horst C, Polsky B, Jayewardene A, Lizak P, Emrick L, Tong W, and Jacobson MA (1995) Foscarnet and ganciclovir pharmacokinetics during concomitant or alternating maintenance therapy for AIDS-related cytomegalovirus retinitis.    Clin. Pharmacol. Ther. 57: 403-412.  Sjovall J, Bergdahl S, Movin G, Ogenstad S, and Saarimaki M (1989) Pharmacokinetics of foscarnet and distribution to cerebrospinal fluid after intravenous infusion in patients with human immunodeficiency virus infection.  Antimic. Agents Chemother. 33: 1023-1031.",Long terminal phase t1/2 of 88 h reported in Sjovall with a 3-compartment model.,,1924,126.01,5,3,94.8,1,anionic,-1.2,-7.6
Dichloroacetic Acid,79-43-6,OC(=O)C(Cl)Cl,0.19,5.3,,0.6,0.65,"Jia M, Coats B, Chadha M, Frentzen B, Perez-Rodriguez J, Chadik PA, Yost RA, Henderson GN, and Stacpoole PW (2006) Human Kinetics of Orally and Intravenously Administered Low-Dose 1,2-13C-Dichloroacetate.  J. Clin. Pharmacol.  46: 1449-1459.",,,1885,128.94,2,1,37.3,1,anionic,0.9,-2.5
Flucytosine,2022-85-7,NC1=C(F)C=NC(=O)N1,0.68,2.0,1.0,5.7,4.2,"Cutler RE, Blair AD, and Kelly MR (1978) Flucytosine kinetics in subjects with normal and impaired renal function.  Clin. Pharmacol. Ther. 24; 333-342.  Lee KJ, Mower R, Hollenbeck T, Castelo J, Johnson N, Gordon P, Sinko PJ, Holme K, and Lee YH (2003) Modulation of nonspecific binding in ultrafiltration protein binding studies.  Pharm. Res. 20: 1015-1021.",,,1957,129.09,4,2,67.5,0,neutral,-2.3,-2.3
