SID,group,label_1a2,label_2c19,label_2c9,label_2d6,label_3a4,smiles
842250,training set,1,,,,1,Fc1ccc(Cn2nnnc2CN(Cc3cc4c(nc3O)cc5OCOc5c4)CCCO)cc1
842319,training set,1,,1,0,,S1/C(=C\2/c3c(N(C2=O)CC)cccc3)/C(=O)N(C1=S)CCCOC
842584,training set,1,1,,,,Clc1c(-c2nc([nH]n2)-c3ccccc3)cccc1
842618,training set,,1,1,,1,O(c1c(C(N2CCN(CC2)Cc3ccncc3)c4n(nnn4)C(C)(C)C)cccc1)C
842697,training set,1,1,,,,O(c1c(CNC(=O)Cn2nc(nn2)-c3ccncc3)cccc1)C
842789,training set,,0,,0,0,O=C(Nc1cc(NC(=O)C)ccc1)C2N(C(=O)Nc3c(cccc3)C)CCC2
842891,training set,,0,0,0,,Oc1nc2c(cc1CN(C(c3n(nnn3)CC4OCCC4)CC)CCN5CCOCC5)cc(cc2)C
842968,training set,0,,0,,0,OC1=C(C(N(C1=O)CCCC(=O)O)c2ccc(OC)cc2)C(=O)c3ccc(OC)cc3
843048,training set,,1,,,,S(c1nc([nH]n1)-c2ccccc2)Cc3nc(nc(n3)N)Nc4ccc(OC)cc4
843170,training set,,,,0,0,O1C(C(=O)N(c2c1ccc(c2)C(=O)NC(CC)(C)C)CC(OC)=O)(C)C
843289,training set,,0,,0,0,s1c2ncnc(O)c2cc1CC
843293,training set,1,,,0,1,S(c1n(c(nn1)-c2c(O)cc3c(c2)cccc3)CC)CC(=O)N(CC)CC
843295,training set,,1,,0,,O(c1c(NC(=O)c2occc2)cc(OCC)c(NC(=O)C3CCCCC3)c1)CC
843298,training set,0,1,,,1,S(=O)(=O)(N1CCC(n2nnc3c2ccc(c3)C)CC1)c4ccc(C(=O)N5C(CCCC5C)C)cc4
843526,training set,1,1,,1,,s1c(CNC(=O)c2c(O)c3c(nc2)c(OC)ccc3)ccc1
843611,training set,,1,,0,,S(c1n(N)c(nn1)CC)Cc2ccc(OC(C)C)cc2
843632,training set,0,0,0,,1,S(c1n(c(nn1)Cc2cc3OCOc3cc2)C4CCCCC4)CC(=O)NC(C)(C)C
843662,training set,,1,,,,O=C(N1c2c(CC1C)cccc2)CN3CCC(n4nnc5c4ccc(c5)C)CC3
843808,training set,1,1,,0,,S(c1nc2[nH]c3c(c2nn1)cc(F)cc3)CC(OCc4ccccc4)=O
843813,training set,1,1,1,,,O(c1ccc(CCNc2n3ncnc3nc(c2CC)C)cc1)C
843859,training set,1,1,,0,0,S(C=1N=C2C(C(C1C#N)C)=C(O)CCC2)CC(OCC)=O
843987,training set,1,,1,0,1,S(c1n2c(nn1)c(cc3c2cc(cc3)C)C)CC(=O)NCc4occc4
844035,training set,,1,0,,,S(=O)(=O)(N1CCC(C(=O)c2cc3OCCOc3cc2)CC1)c4c(F)cccc4
844042,training set,,,,0,,S(c1n(c(nn1)-c2cnccc2)-c3ccc(cc3)C)CC(=O)N4CCOCC4
844043,training set,0,1,0,0,0,S(=O)(=O)(N1CCN(CC1)C(OCC)=O)Cc2ccccc2
844085,training set,,1,1,1,1,S(C=1NC(N)=C(C2(C1C#N)CCCCC2)C#N)CC
844118,training set,1,1,1,,,FC(F)(F)c1cnc(N2CCN(c3n4ncnc4nc(c3)-c5ccccc5)CC2)cc1
844156,training set,,,,0,,s1c2c(n(c(c2)C(OCC)=O)CC(=O)N3CCN(C(=O)c4occc4)CC3)cc1C
844203,training set,0,0,0,0,0,O(C(c1cc(N(CCO)CCO)ccc1)C(NC(=O)C)C(OCC)=O)C(=O)C
844275,training set,1,1,,0,0,O1c2c(OCC1)cc(NC(=O)CC)c(C(=O)c3ccccc3)c2
844442,training set,0,0,,0,0,Fc1ccc(CCNC(=O)C2CCN(c3nc(cc(n3)C)C)CC2)cc1
844455,training set,0,1,,0,,o1c(nnc1-c2ccc(N3CCOCC3)cc2)-c4cc(OC)c(OC)c(OC)c4
844570,training set,0,1,1,0,0,O=C1N(C(=O)C(C(=O)N1C2CCCCC2)=CN(C)C)C3CCCCC3
844622,training set,,0,,0,0,S(=O)(=O)(N(c1ncccc1)CC(OC)=O)c2ccccc2
844690,training set,,,,0,,o1c(C2N(C(=O)C(O)=C2C(=O)c3c(ccc(c3)C)C)CCN4CCOCC4)ccc1
844782,training set,1,1,,0,,S1(=O)(=O)c2c(C(Sc3n(c4c(n3)cccc4)C)=C1)cccc2
844835,training set,1,1,1,,,o1c(nnc1-c2ccncc2)-c3ccc(OCC)cc3
844873,training set,0,1,1,,,s1nc(c(N)c1C(=O)N(c2cc3OCCOc3cc2)C(C(=O)NC4CCCC4)C)C(=O)N
844932,training set,,0,0,,,O=C(Nc1n(c(-c2ccc(cc2)C)cn1)C)CCC(=O)N3CCCCC3
845164,training set,0,,0,0,0,S(C=1N(C(=O)C(N1)(CCC#N)C)c2ccccc2)CCC#N
845245,training set,1,1,,,1,S(c1nc([nH]n1)-c2ccncc2)CC(=O)Nc3cc(ccc3)C
845384,training set,1,0,,,0,S(=O)(=O)(N1CCCC1)c2ccc(NC(=O)c3ccc(cc3)CN4CCOCC4)cc2
845406,training set,,1,1,0,,Clc1c(N2CCN(CC2)C(=O)C(C)C)ccc(NC(=O)COc3c(cccc3)C)c1
845577,training set,,1,1,0,,O=C(N1CCN(c2ccccc2)CC1)Nc3cc(NC(=O)N4CCN(c5ccccc5)CC4)ccc3
845581,training set,0,,0,0,0,Fc1cc(C2(NC(=O)C)CCN(CC2)CC(=O)NC3CCCCC3)ccc1
845632,training set,0,1,1,0,0,Clc1cc(N2CCN(S(=O)(=O)c3cc4OCCOc4cc3)CC2)c(cc1)C
845652,training set,1,1,,,1,s1c(NC(=O)CSc2n(nnn2)C)c(c(c1C)C)C(OCC)=O
845706,training set,,,1,0,1,OC1=C(C(N(C1=O)Cc2ccncc2)c3cc(OCC)ccc3)C(=O)c4oc(cc4)C
845813,training set,0,,,0,1,S(c1n(c(nn1)Cc2ccccc2)CC)CC(=O)NC(C)(C)C
845859,training set,1,,,0,0,O1C(C(=O)Nc2ccc(C(OCC)=O)cc2)CCC1
845879,training set,,,1,0,1,Oc1nc2c(cc1CN(C(c3n(nnn3)C(CC)(C)C)C(C)C)CCCO)cc(cc2)C
845912,training set,0,,1,0,,Clc1c(S(=O)(=O)N(Cc2c(O)nc3c(c2)cc(OC)c(OC)c3)CCCO)cccc1
846035,training set,1,0,0,0,0,S(c1n(c(nn1)COc2ccccc2)Cc3ccccc3)CC(=O)Nc4sc(nn4)CC
846056,training set,1,1,1,0,0,Clc1ccc(-c2n(c(SCC(=O)N3CCOCC3)nc2)CC(C)C)cc1
846109,training set,1,0,,0,,S(c1nn2c(nc3c(c2O)CN(CC3)Cc4ccccc4)n1)C
846155,training set,1,0,1,0,0,s1c2ncnc(NCCO)c2cc1CC
846175,training set,1,0,,,0,OC1=C(C(N(C1=O)Cc2cnccc2)c3cnccc3)C(=O)c4c(ccc(c4)C)C
846286,training set,1,1,,,,Brc1ccc(-c2n[nH]c(N)c2Cl)cc1
846322,training set,0,0,,0,,FC(F)(F)C1n2ncc(c2NC(C1)c3ccccc3)C(=O)NCc4c(n(nc4C)C)C
846376,training set,0,0,0,0,0,O=C(Nc1ccc(NC(=O)CN(CCC#N)C)cc1)CN(CCC#N)C
846379,training set,,1,,,,S(c1n(c(nn1)-c2occc2)CCCC)CC(=O)NC(C)(C)C
846448,training set,0,,,0,,o1c(C(=O)N2CCN(C(c3n(nnn3)CC4OCCC4)c5ccc(cc5)C)CC2)ccc1
846555,training set,0,0,0,0,0,O(c1c(NC(=O)C(NCc2occc2)CC(=O)O)cc(OC)cc1)C
846619,training set,1,1,1,1,1,s1c(C2c3c(NC(=O)C2)cc4OCOc4c3)ccc1
846659,training set,1,1,,0,,S(c1oc(nn1)-c2cc(OC)c(OC)c(OC)c2)CC(OCCCC)=O
846760,training set,,,0,0,,o1c(C(N(C(=O)Cn2nnc3c2cccc3)CC4OCCC4)C(=O)NCCOC)ccc1C
