key,id,description,group,group_info
BEGF750101,A005,"Conformational parameter of inner helix (Beghin-Dirkx, 1975)",A,alpha and turn propensities
BEGF750103,A007,"Conformational parameter of beta-turn (Beghin-Dirkx, 1975)",A,alpha and turn propensities
BUNA790101,A016,"alpha-NH chemical shifts (Bundi-Wuthrich, 1979)",A,alpha and turn propensities
BUNA790103,A018,"Spin-spin coupling constants 3JHalpha-NH (Bundi-Wuthrich, 1979)",A,alpha and turn propensities
BURA740101,A019,"Normalized frequency of alpha-helix (Burgess et al., 1974)",A,alpha and turn propensities
CHAM830101,A022,"The Chou-Fasman parameter of the coil conformation (Charton-Charton, 1983)",A,alpha and turn propensities
CHAM830102,A023,"A parameter defined from the residuals obtained from the best correlation of the Chou-Fasman parameter of beta-sheet (Charton-Charton, 1983)",A,alpha and turn propensities
CHOP780101,A037,"Normalized frequency of beta-turn (Chou-Fasman, 1978a)",A,alpha and turn propensities
CHOP780201,A038,"Normalized frequency of alpha-helix (Chou-Fasman, 1978b)",A,alpha and turn propensities
CHOP780203,A040,"Normalized frequency of beta-turn (Chou-Fasman, 1978b)",A,alpha and turn propensities
CHOP780205,A042,"Normalized frequency of C-terminal helix (Chou-Fasman, 1978b)",A,alpha and turn propensities
CHOP780207,A044,"Normalized frequency of C-terminal non helical region (Chou-Fasman, 1978b)",A,alpha and turn propensities
CHOP780210,A047,"Normalized frequency of N-terminal non b region (Chou-Fasman, 1978b)",A,alpha and turn propensities
CHOP780211,A048,"Normalized frequency of C-terminal non b region (Chou-Fasman, 1978b)",A,alpha and turn propensities
CHOP780212,A049,"Frequency of the 1st residue in turn (Chou-Fasman, 1978b)",A,alpha and turn propensities
CHOP780213,A050,"Frequency of the 2nd residue in turn (Chou-Fasman, 1978b)",A,alpha and turn propensities
CHOP780215,A052,"Frequency of the 4th residue in turn (Chou-Fasman, 1978b)",A,alpha and turn propensities
CHOP780216,A053,"Normalized frequency of the 2nd and 3rd residues in turn (Chou-Fasman, 1978b)",A,alpha and turn propensities
