accession_number,description,similar_entities,author,title,journal_reference,pmid,group,subgroup
ANDN920101,"alpha-CH chemical shifts (Andersen et al., 1992)","[('BUNA790102', 0.949)]","Andersen, N.H., Cao, B. and Chen, C.",Peptide/protein structure analysis using the chemical shift index method: upfield alpha-CH values reveal dynamic helices and aL sites,"Biochem. and Biophys. Res. Comm. 184, 1008-1014 (1992)",PMID:1575719,indices,"P,Physicochemical properties"
ARGP820101,"Hydrophobicity index (Argos et al., 1982)","[('JOND750101', 1.0), ('SIMZ760101', 0.967), ('GOLD730101', 0.936), ('TAKK010101', 0.906), ('MEEJ810101', 0.891), ('ROSM880104', 0.872), ('CIDH920105', 0.867), ('LEVM760106', 0.865), ('CIDH920102', 0.862), ('MEEJ800102', 0.855), ('MEEJ810102', 0.853), ('ZHOH040101', 0.841), ('CIDH920103', 0.827), ('PLIV810101', 0.82), ('CIDH920104', 0.819), ('LEVM760107', 0.806), ('NOZY710101', 0.8), ('GUYH850103', -0.808), ('PARJ860101', -0.835), ('WOLS870101', -0.838), ('BULH740101', -0.854)]","Argos, P., Rao, J.K.M. and Hargrave, P.A.",Structural prediction of membrane-bound proteins,"Eur. J. Biochem. 128, 565-575 (1982)",PMID:7151796,indices,"H,Hydrophobicity"
ARGP820102,"Signal sequence helical potential (Argos et al., 1982)","[('ARGP820103', 0.961), ('KYTJ820101', 0.803), ('JURD980101', 0.802)]","Argos, P., Rao, J.K.M. and Hargrave, P.A.",Structural prediction of membrane-bound proteins,"Eur. J. Biochem. 128, 565-575 (1982)",PMID:7151796,indices,"H,Hydrophobicity"
ARGP820103,"Membrane-buried preference parameters (Argos et al., 1982)","[('ARGP820102', 0.961), ('MIYS850101', 0.822), ('NAKH900106', 0.81), ('EISD860103', 0.81), ('KYTJ820101', 0.806), ('JURD980101', 0.8), ('PUNT030101', -0.81), ('MIYS990102', -0.814), ('MIYS990101', -0.817)]","Argos, P., Rao, J.K.M. and Hargrave, P.A.",Structural prediction of membrane-bound proteins,"Eur. J. Biochem. 128, 565-575 (1982)",PMID:7151796,indices,"H,Hydrophobicity"
BEGF750101,"Conformational parameter of inner helix (Beghin-Dirkx, 1975)","[('KANM800103', 0.893), ('AURR980113', 0.857), ('ROBB760103', 0.852), ('CHOP780201', 0.841), ('QIAN880105', 0.833), ('AURR980109', 0.821), ('QIAN880107', 0.815), ('PALJ810102', 0.811), ('AURR980108', 0.81), ('CHOP780101', -0.803), ('CHOP780210', -0.804), ('CRAJ730103', -0.812), ('ROBB760108', -0.819), ('ROBB760113', -0.826), ('CHAM830101', -0.854), ('PALJ810106', -0.859)]","Beghin, F. and Dirkx, J.",Une methode statistique simple de prediction des conformations proteiques,"Arch. Int. Physiol. Biochim. 83, 167-168 (1975)",PMID:50789,indices,"A,alpha and turn propensities"
BEGF750102,"Conformational parameter of beta-structure (Beghin-Dirkx, 1975)","[('CORJ870105', 0.878), ('CORJ870106', 0.853), ('PRAM900103', 0.834), ('LEVM780102', 0.834), ('PALJ810110', 0.834), ('NAGK730102', 0.833), ('CORJ870107', 0.831), ('QIAN880120', 0.829), ('QIAN880119', 0.811), ('ROBB760106', 0.809), ('PTIO830102', 0.807), ('LIFS790101', 0.807), ('MIYS850101', 0.806), ('PONP800107', 0.803), ('PALJ810104', 0.801), ('CORJ870108', -0.825), ('MEIH800101', -0.832), ('RACS770101', -0.84)]","Beghin, F. and Dirkx, J.",Une methode statistique simple de prediction des conformations proteiques,"Arch. Int. Physiol. Biochim. 83, 167-168 (1975)",PMID:50789,indices,"H,Hydrophobicity"
BEGF750103,"Conformational parameter of beta-turn (Beghin-Dirkx, 1975)","[('ROBB760113', 0.924), ('ROBB760108', 0.922), ('ROBB760110', 0.903), ('CHOP780101', 0.885), ('CRAJ730103', 0.874), ('PALJ810106', 0.859), ('TANS770110', 0.834)]","Beghin, F. and Dirkx, J.",Une methode statistique simple de prediction des conformations proteiques,"Arch. Int. Physiol. Biochim. 83, 167-168 (1975)",PMID:50789,indices,"A,alpha and turn propensities"
BHAR880101,"Average flexibility indices (Bhaskaran-Ponnuswamy, 1988)","[('VINM940103', 0.869), ('KARP850102', 0.806), ('WERD780101', -0.803), ('RICJ880111', -0.813)]","Bhaskaran, R. and Ponnuswamy, P.K.",Positional flexibilities of amino acid residues in globular proteins,"Int. J. Peptide Protein Res. 32, 241-255 (1988)",,indices,"H,Hydrophobicity"
BIGC670101,"Residue volume (Bigelow, 1967)","[('GOLD730102', 1.0), ('KRIW790103', 0.993), ('TSAJ990101', 0.993), ('TSAJ990102', 0.992), ('CHOC750101', 0.99), ('GRAR740103', 0.984), ('FAUJ880103', 0.972), ('CHAM820101', 0.966), ('HARY940101', 0.96), ('CHOC760101', 0.96), ('PONJ960101', 0.95), ('FASG760101', 0.919), ('LEVM760105', 0.913), ('ROSG850101', 0.91), ('DAWD720101', 0.903), ('LEVM760102', 0.896), ('ZHOH040102', 0.884), ('LEVM760106', 0.876), ('CHAM830106', 0.87), ('LEVM760107', 0.863), ('FAUJ880106', 0.86), ('RADA880106', 0.856), ('MCMT640101', 0.814), ('RADA880103', -0.865)]","Bigelow, C.C.",On the average hydrophobicity of proteins and the relation between it and protein structure,"J. Theor. Biol. 16, 187-211 (1967) (Asn Gln 5.0)",PMID:6048539,indices,"P,Physicochemical properties"
BIOV880101,"Information value for accessibility; average fraction 35% (Biou et al., 1988)","[('RADA880108', 0.981), ('ROSG850102', 0.981), ('NISK860101', 0.972), ('BIOV880102', 0.968), ('MIYS850101', 0.96), ('WERD780101', 0.951), ('FAUJ830101', 0.942), ('ZHOH040103', 0.941), ('NADH010103', 0.939), ('NADH010104', 0.937), ('CASG920101', 0.935), ('MEIH800103', 0.934), ('CIDH920104', 0.933), ('BASU050103', 0.926), ('PONP800103', 0.926), ('PONP800102', 0.926), ('NADH010102', 0.921), ('NISK800101', 0.92), ('PONP800101', 0.918), ('CORJ870101', 0.917), ('CIDH920105', 0.912), ('PONP930101', 0.912), ('BASU050102', 0.909), ('PONP800108', 0.907), ('PLIV810101', 0.899), ('MANP780101', 0.899), ('ROBB790101', 0.89), ('CORJ870107', 0.889), ('CIDH920103', 0.887), ('BASU050101', 0.883), ('DESM900102', 0.878), ('CORJ870103', 0.876), ('JANJ780102', 0.875), ('ROSM880105', 0.874), ('CORJ870106', 0.87), ('CORJ870104', 0.867), ('NADH010105', 0.867), ('CIDH920102', 0.864), ('EISD860103', 0.864), ('CORJ870105', 0.859), ('MEEJ810101', 0.855), ('BAEK050101', 0.853), ('JANJ790102', 0.848), ('CIDH920101', 0.847), ('JURD980101', 0.84), ('GUOD860101', 0.839), ('SWER830101', 0.839), ('NADH010101', 0.838), ('BLAS910101', 0.838), ('CORJ870102', 0.837), ('KYTJ820101', 0.829), ('EISD860101', 0.828), ('JANJ790101', 0.827), ('ZHOH040101', 0.825), ('MEEJ810102', 0.824), ('CHOC760103', 0.823), ('PONP800107', 0.816), ('EISD840101', 0.811), ('DESM900101', 0.807), ('KRIW710101', -0.813), ('PARS000101', -0.819), ('FUKS010102', -0.82), ('KARP850101', -0.825), ('JANJ780103', -0.829), ('WOEC730101', -0.829), ('ROSM880101', -0.83), ('LEVM760101', -0.831), ('KUHL950101', -0.834), ('FUKS010103', -0.84), ('GUYH850104', -0.844), ('HOPT810101', -0.848), ('WOLS870101', -0.854), ('ROSM880102', -0.854), ('RACS770103', -0.856), ('OOBM770101', -0.858), ('KRIW790102', -0.869), ('FUKS010104', -0.873), ('VINM940102', -0.876), ('PUNT030102', -0.878), ('KARP850102', -0.88), ('PUNT030101', -0.883), ('CORJ870108', -0.886), ('PARJ860101', -0.889), ('GUYH850103', -0.89), ('KIDA850101', -0.893), ('RACS770101', -0.893), ('VINM940103', -0.901), ('GRAR740102', -0.91), ('KRIW790101', -0.91), ('OOBM770103', -0.92), ('GUYH850102', -0.922), ('GUYH850101', -0.929), ('RACS770102', -0.937), ('VINM940101', -0.941), ('MIYS990101', -0.947), ('MIYS990102', -0.948), ('MEIH800101', -0.949), ('MEIH800102', -0.956), ('MIYS990103', -0.962), ('MIYS990104', -0.965), ('MIYS990105', -0.975), ('FASG890101', -0.982)]","Biou, V., Gibrat, J.F., Levin, J.M., Robson, B. and Garnier, J.",Secondary structure prediction: combination of three different methods,"Protein Engineering 2, 185-191 (1988)",PMID:3237683,indices,"H,Hydrophobicity"
