ID;Canonical_Smiles;hlm_clearance[mL.min-1.g-1];rlm_clearance[mL.min-1.g-1];mlm_clearance[mL.min-1.g-1];caco2_PAPP[10^-7cm/s];Set_hlm;Set_rlm;Set_mlm;Set_caco
CHEMBL1235213;CCOc1ccc(Nc2c(C)c(N[C@H]3CCCNC3)nc4ccnn24)cc1;10;;11;283;Test;;Train;Train
CHEMBL2163999;N[C@@H]1CC[C@H](CC1)Nc2cc(Nc3ccc(F)c(Cl)c3)n4nccc4n2;10;;59;71;Train;;Train;Test
CHEMBL3321933;COc1ccc(CC(=O)\N=C(/N)\N[C@H](CC2CCCCC2)C(=O)NCc3ccc(cc3)c4nn[nH]n4)cc1OC;;38;10;2,5;;Ext;Ext;Train
CHEMBL1801962;COc1ccccc1C(=O)\C=C\c2ccccc2C(F)(F)F;150;;690;174;Train;;Train;Train
CHEMBL3775940;COc1cc2ncnc(Nc3c(C)c(O)ccc3F)c2cc1OC;6,2;;28,2;82;Train;;Train;Train
CHEMBL3775024;Cn1ncc2cc(Cc3[nH]nc4ccc(cc34)C(=O)N5CC[C@H](O)C5)ccc12;10;10;10;43;Ext;Train;Train;Train
CHEMBL3775935;Cn1cc(cn1)c2ccc(Cc3[nH]nc4ccc(cc34)C(=O)N5CCCC5)cc2;70;233;167;278;Ext;Ext;Train;Train
CHEMBL3774402;COC1CN(C1)C(=O)c2ccc3[nH]nc(Cc4ccc(cc4)c5cnn(C)c5)c3c2;40;103;59;288;Train;Train;Train;Train
CHEMBL3774885;Cn1cc(cn1)c2ccc(Cc3[nH]nc4ccc(cc34)C(=O)N5CCOCC5)cc2;26;48;59;315;Train;Train;Train;Test
CHEMBL3775535;CNC(=O)c1ccc2[nH]nc(Cc3ccc(cc3)c4cnn(C)c4)c2c1;19;18;23;412;Train;Train;Ext;Train
CHEMBL3775317;Cn1cc(cn1)c2ccc(Cc3[nH]nc4ccc(cc34)C(=O)N5CC[C@@H](O)C5)cc2;11;13;16;87;Train;Train;Train;Train
CHEMBL3775423;Cn1cc(cn1)c2ccc(Cc3[nH]nc4ccc(cc34)C(=O)N5CC(O)C5)cc2;10;15;15;56;Train;Train;Ext;Train
CHEMBL3775576;CNC(=O)c1ccc2[nH]nc(Cc3ccc4c(cnn4C)c3)c2c1;10;10;29;331;Ext;Train;Train;Train
CHEMBL3775321;Cn1cc(cn1)c2ccc(Cc3[nH]nc4ccc(cc34)C(=O)N5CC[C@H](O)C5)cc2;15;14;13;80;Train;Train;Train;Train
CHEMBL3775562;Cn1cc(cn1)c2ccc(Cc3[nH]nc4ccc(cc34)C(=O)N5CCNCC5)cc2;10;14;53;23;Train;Test;Test;Train
CHEMBL3775123;Cn1ncc2cc(Cc3[nH]nc4ccc(cc34)C(=O)N5CC(O)C5)ccc12;10;10;21;121;Test;Train;Train;Train
CHEMBL3775134;Cn1cc(cn1)c2ccc(Cc3[nH]nc4ccc(cc34)C(=O)N5CC(F)(F)C5)cc2;31;190;73;390;Train;Train;Train;Train
CHEMBL3775076;Cn1ncc2cc(Cc3[nH]nc4ccc(cc34)C(=O)N5CCC(F)(F)C5)ccc12;45;27;354;334;Train;Train;Test;Train
CHEMBL3774959;COC1CN(C1)C(=O)c2ccc3[nH]nc(Cc4ccc5c(cnn5C)c4)c3c2;44;126;114;336;Test;Train;Train;Train
CHEMBL3775773;Cn1cc(cn1)c2ccc(Cc3[nH]nc4ccc(cc34)C(=O)N5CCC(F)(F)C5)cc2;40;75;111;365;Train;Train;Test;Train
CHEMBL3814140;CCc1cc(nc(N)n1)c2c[nH]c3ncc(cc23)c4cnn(c4)C5CCNCC5;10;;10;13;Test;;Train;Train
CHEMBL3814770;CCc1cc(nc(N)n1)c2c[nH]c3ncc(cc23)c4cnn(CCN(C)C)c4;10;;39;73;Train;;Train;Train
CHEMBL3815046;CCCCc1cc(nc(N)n1)c2c[nH]c3ncc(cc23)c4cnn(c4)C5CCNCC5;10;;10;3;Test;;Train;Train
