,SID,group,label_1a2,label_2c19,label_2c9,label_2d6,label_3a4,smiles,scaffold
0,842250,training set,1.0,,,,1.0,Fc1ccc(Cn2nnnc2CN(Cc3cc4c(nc3O)cc5OCOc5c4)CCCO)cc1,c1ccc(Cn2nnnc2CNCc2cnc3cc4c(cc3c2)OCO4)cc1
1,842319,training set,1.0,,1.0,0.0,,S1/C(=C\2/c3c(N(C2=O)CC)cccc3)/C(=O)N(C1=S)CCCOC,O=C1NC(=S)S/C1=C1\C(=O)Nc2ccccc21
2,842584,training set,1.0,1.0,,,,Clc1c(-c2nc([nH]n2)-c3ccccc3)cccc1,c1ccc(-c2n[nH]c(-c3ccccc3)n2)cc1
3,842618,training set,,1.0,1.0,,1.0,O(c1c(C(N2CCN(CC2)Cc3ccncc3)c4n(nnn4)C(C)(C)C)cccc1)C,c1ccc(C(c2nnn[nH]2)N2CCN(Cc3ccncc3)CC2)cc1
4,842697,training set,1.0,1.0,,,,O(c1c(CNC(=O)Cn2nc(nn2)-c3ccncc3)cccc1)C,O=C(Cn1nnc(-c2ccncc2)n1)NCc1ccccc1
5,842789,training set,,0.0,,0.0,0.0,O=C(Nc1cc(NC(=O)C)ccc1)C2N(C(=O)Nc3c(cccc3)C)CCC2,O=C(Nc1ccccc1)C1CCCN1C(=O)Nc1ccccc1
6,842891,training set,,0.0,0.0,0.0,,Oc1nc2c(cc1CN(C(c3n(nnn3)CC4OCCC4)CC)CCN5CCOCC5)cc(cc2)C,c1ccc2ncc(CN(CCN3CCOCC3)Cc3nnnn3CC3CCCO3)cc2c1
7,842968,training set,0.0,,0.0,,0.0,OC1=C(C(N(C1=O)CCCC(=O)O)c2ccc(OC)cc2)C(=O)c3ccc(OC)cc3,O=C1C=C(C(=O)c2ccccc2)C(c2ccccc2)N1
8,843048,training set,,1.0,,,,S(c1nc([nH]n1)-c2ccccc2)Cc3nc(nc(n3)N)Nc4ccc(OC)cc4,c1ccc(Nc2ncnc(CSc3n[nH]c(-c4ccccc4)n3)n2)cc1
9,843170,training set,,,,0.0,0.0,O1C(C(=O)N(c2c1ccc(c2)C(=O)NC(CC)(C)C)CC(OC)=O)(C)C,O=C1COc2ccccc2N1
10,843289,training set,,0.0,,0.0,0.0,s1c2ncnc(O)c2cc1CC,c1ncc2ccsc2n1
11,843293,training set,1.0,,,0.0,1.0,S(c1n(c(nn1)-c2c(O)cc3c(c2)cccc3)CC)CC(=O)N(CC)CC,c1ccc2cc(-c3nnc[nH]3)ccc2c1
12,843295,training set,,1.0,,0.0,,O(c1c(NC(=O)c2occc2)cc(OCC)c(NC(=O)C3CCCCC3)c1)CC,O=C(Nc1ccc(NC(=O)C2CCCCC2)cc1)c1ccco1
13,843298,training set,0.0,1.0,,,1.0,S(=O)(=O)(N1CCC(n2nnc3c2ccc(c3)C)CC1)c4ccc(C(=O)N5C(CCCC5C)C)cc4,O=C(c1ccc(S(=O)(=O)N2CCC(n3nnc4ccccc43)CC2)cc1)N1CCCCC1
14,843526,training set,1.0,1.0,,1.0,,s1c(CNC(=O)c2c(O)c3c(nc2)c(OC)ccc3)ccc1,O=C(NCc1cccs1)c1cnc2ccccc2c1
15,843611,training set,,1.0,,0.0,,S(c1n(N)c(nn1)CC)Cc2ccc(OC(C)C)cc2,c1ccc(CSc2nnc[nH]2)cc1
16,843632,training set,0.0,0.0,0.0,,1.0,S(c1n(c(nn1)Cc2cc3OCOc3cc2)C4CCCCC4)CC(=O)NC(C)(C)C,c1cc2c(cc1Cc1nncn1C1CCCCC1)OCO2
17,843662,training set,,1.0,,,,O=C(N1c2c(CC1C)cccc2)CN3CCC(n4nnc5c4ccc(c5)C)CC3,O=C(CN1CCC(n2nnc3ccccc32)CC1)N1CCc2ccccc21
