v,Feature importance based on training set,Feature importance based on test set,Subtypes,colors,x,y,Bit Substructure,Proportion in inhibitors,Proportion in non-inhibitors
PubChemFP797,0.05160896428730838,0.07384021750859626,PubChemFP,#d600ff,13,29,CC1CC(C)CCC1,0.6874095513748191,0.4805352798053528
PubChemFP734,0.047897135211618536,0.08549763127398602,PubChemFP,#d600ff,16,31,Cc1cc(C)ccc1,0.683068017366136,0.46472019464720193
PharmacoErGFP148,0.0463282408317347,0.06273540441945535,PharmacoErGFP,#003fff,5,29,"('Acceptor', 'Positive', 2)",0.7395079594790159,0.4854014598540146
MACCSFP84,0.04434215064908087,0.04281463245799966,MACCSFP,#00c7ff,9,31,"('[NH2]', 0)",0.9536903039073806,0.8114355231143552
PharmacoErGFP24,0.039896691941092355,0.042800423779561614,PharmacoErGFP,#003fff,10,30,"('Donor', 'Acceptor', 4)",0.9869753979739508,0.8807785888077859
PharmacoErGFP149,0.0368959991741456,0.04662890486284399,PharmacoErGFP,#003fff,5,26,"('Acceptor', 'Positive', 3)",0.7279305354558611,0.4720194647201946
MACCSFP107,0.030805890389365986,0.02186021521705883,MACCSFP,#00c7ff,27,13,"('[F,Cl,Br,I]~*(~*)~*', 0)",0.6714905933429812,0.5778588807785888
MACCSFP134,0.02929096288294991,0.02230517216115624,MACCSFP,#00c7ff,27,14,"('[F,Cl,Br,I]', 0)",0.6743849493487699,0.5802919708029197
PharmacoErGFP283,0.028608481467014557,0.02513122283485958,PharmacoErGFP,#003fff,4,34,"('Positive', 'Hydrophobic', 11)",0.8625180897250362,0.7506082725060828
PharmacoErGFP287,0.02712356684169509,0.02983517565620497,PharmacoErGFP,#003fff,4,30,"('Positive', 'Hydrophobic', 15)",0.6555716353111433,0.4951338199513382
PharmacoErGFP127,0.02686195056611279,0.040272946603516546,PharmacoErGFP,#003fff,11,25,"('Acceptor', 'Acceptor', 2)",0.8769898697539797,0.6532846715328468
PharmacoErGFP104,0.02663249013520208,0.02811581374293093,PharmacoErGFP,#003fff,10,31,"('Donor', 'Hydrophobic', 21)",0.9942112879884226,0.9221411192214112
MACCSFP143,0.026162783864477623,0.017816259632175035,MACCSFP,#00c7ff,30,17,"('*@*!@[#8]', 0)",0.7163531114327062,0.559610705596107
PharmacoErGFP103,0.025697085006866793,0.019452433824833304,PharmacoErGFP,#003fff,10,32,"('Donor', 'Hydrophobic', 20)",0.9927641099855282,0.8978102189781022
MACCSFP131,0.025406501749780597,0.017198216867032712,MACCSFP,#00c7ff,9,32,"('[!#6;!#1;!H0]', 1)",0.7409551374819102,0.6508515815085159
PharmacoErGFP26,0.02320155662711526,0.02580214884380294,PharmacoErGFP,#003fff,9,29,"('Donor', 'Acceptor', 6)",0.9276410998552822,0.732360097323601
PubChemFP697,0.022480489655055336,0.03527912195223559,PubChemFP,#d600ff,15,29,C-C-C-C-C-C(C)-C,0.934876989869754,0.8260340632603407
MACCSFP42,0.022455779371892803,0.01726755726773066,MACCSFP,#00c7ff,26,14,"('F', 0)",0.6237337192474675,0.40145985401459855
PubChemFP23,0.022106640821049572,0.020058291305567244,PubChemFP,#d600ff,25,13,>= 1 F,0.6237337192474675,0.40145985401459855
MACCSFP97,0.022069926267539786,0.025098500607878327,MACCSFP,#00c7ff,28,24,"('[#7]~*~*~*~[#8]', 0)",0.6251808972503617,0.4878345498783455
PubChemFP593,0.02168931732847057,0.025885086177272365,PubChemFP,#d600ff,27,31,N-C-C-C-N,0.638205499276411,0.5206812652068127
PharmacoErGFP146,0.02091648309378047,0.03162159372847162,PharmacoErGFP,#003fff,5,31,"('Acceptor', 'Acceptor', 21)",0.8364688856729378,0.5815085158150851
MACCSFP154,0.020060993175259,0.027008512153866127,MACCSFP,#00c7ff,31,27,"('[#6]=[#8]', 0)",0.8668596237337193,0.7238442822384428
MACCSFP150,0.019918789632554945,0.022700398372283992,MACCSFP,#00c7ff,22,22,"('*!@*@*!@*', 0)",0.6917510853835022,0.572992700729927
PharmacoErGFP100,0.01958490554695519,0.01875678807003789,PharmacoErGFP,#003fff,12,33,"('Donor', 'Hydrophobic', 17)",0.678726483357453,0.6228710462287105
PharmacoErGFP128,0.01886763035633393,0.024257902326338066,PharmacoErGFP,#003fff,11,23,"('Acceptor', 'Acceptor', 3)",0.8842257597684515,0.6678832116788321
MACCSFP127,0.01860991384182703,0.010726802125358703,MACCSFP,#00c7ff,30,16,"('*@*!@[#8]', 1)",0.7163531114327062,0.559610705596107
PharmacoErGFP126,0.018239446066479648,0.023334533664685853,PharmacoErGFP,#003fff,23,23,"('Acceptor', 'Acceptor', 1)",0.9232995658465991,0.6995133819951338
PharmacoErGFP286,0.018202328770219378,0.014752120471951624,PharmacoErGFP,#003fff,3,32,"('Positive', 'Hydrophobic', 14)",0.8147612156295224,0.7201946472019465
PharmacoErGFP129,0.018078071942931984,0.026500593606646028,PharmacoErGFP,#003fff,10,21,"('Acceptor', 'Acceptor', 4)",0.7945007235890015,0.5827250608272506
PharmacoErGFP5,0.01797347448993286,0.016744338472275744,PharmacoErGFP,#003fff,9,30,"('Donor', 'Donor', 6)",0.36468885672937773,0.3102189781021898
PubChemFP536,0.01793450364777588,0.01777029151669829,PubChemFP,#d600ff,30,26,O=C-C-N,0.4182344428364689,0.31386861313868614
PubChemFP696,0.017727037175935656,0.018998838052012634,PubChemFP,#d600ff,14,29,C-C-C-C-C-C-C-C,0.9956584659913169,0.9184914841849149
MACCSFP87,0.017707703372681016,0.018203631617085936,MACCSFP,#00c7ff,27,12,"('[F,Cl,Br,I]!@*@*', 0)",0.5513748191027497,0.5352798053527981
PharmacoErGFP289,0.01735380310334328,0.017983183857531393,PharmacoErGFP,#003fff,5,27,"('Positive', 'Hydrophobic', 17)",0.3748191027496382,0.2141119221411192
PharmacoErGFP44,0.01726945282993375,0.010622162138277269,PharmacoErGFP,#003fff,6,32,"('Donor', 'Positive', 3)",0.5354558610709117,0.36253041362530414
MACCSFP110,0.01688416795655967,0.018457952951920542,MACCSFP,#00c7ff,29,26,"('[#7]~[#6]~[#8]', 0)",0.8668596237337193,0.7652068126520681
PharmacoErGFP108,0.016850229515790294,0.016301072251639903,PharmacoErGFP,#003fff,10,25,"('Donor', 'Aromatic', 4)",0.6975397973950795,0.5802919708029197
MACCSFP85,0.016810255135844387,0.011898433766634131,MACCSFP,#00c7ff,26,27,"('[#6]~[#7](~[#6])~[#6]', 0)",0.5455861070911722,0.4537712895377129
