Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID
CHEMBL1270136;;0;443.37;0;3.65;75;CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(OCCC(F)(F)F)c2)N=C1N;EC50;'=';1200.0;nM;5.92;;;UO_0000065;13.35;0.26;2.27;7.67;False;CHEMBL1273979;Inhibition of human recombinant BACE1 expressed in CHO cells assessed as reduction in amyloid beta level by sandwich ELISA;B;BAO_0000219;cell-based format;Homo sapiens;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1268920;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2010;CHEMBL3308072
CHEMBL1923752;;0;328.35;0;4.68;32;Fc1ccc2nc(-c3cccc(-c4cn5ccccc5n4)c3)[nH]c2c1;EC50;'=';120.0;nM;6.92;;;UO_0000065;21.08;0.38;2.24;15.05;False;CHEMBL1926458;Inhibition of BACE1 in human H4 cells expressing APP Swedish K595N and M596L double mutant assessed as inhibition of amyloid beta (1 to 40) production after 24 hrs by whole cell assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;H4;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1921672;1;Scientific Literature;J. Med. Chem.;2011;CHEMBL3308507
CHEMBL1824349;;0;377.47;0;2.8;52;CCc1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)cs1;EC50;'=';370.0;nM;6.43;;;UO_0000065;17.04;0.33;3.63;7.61;False;CHEMBL1825608;Inhibition of BACE1 expressed in CHO cells expressing wild type human APP assessed as inhibition of amyloid beta-40 or 42 production by ELISA assay;B;BAO_0000219;cell-based format;None;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1821667;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2011;CHEMBL3308072
CHEMBL1824133;;0;347.38;0;0.91;27;CN1C(=O)C(c2cccc(-c3cncnc3)c2)(c2cnn(C)c2)N=C1N;EC50;'=';4400.0;nM;5.36;;;UO_0000065;15.42;0.28;4.45;5.24;False;CHEMBL1825608;Inhibition of BACE1 expressed in CHO cells expressing wild type human APP assessed as inhibition of amyloid beta-40 or 42 production by ELISA assay;B;BAO_0000219;cell-based format;None;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1821667;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2011;CHEMBL3308072
CHEMBL1824136;;0;433.37;0;2.07;30;CN1C(=O)C(c2ccc(F)c(-c3cncnc3)c2)(c2cnn(CC(F)(F)F)c2)N=C1N;EC50;'=';900.0;nM;6.05;;;UO_0000065;13.95;0.27;3.98;5.91;False;CHEMBL1825608;Inhibition of BACE1 expressed in CHO cells expressing wild type human APP assessed as inhibition of amyloid beta-40 or 42 production by ELISA assay;B;BAO_0000219;cell-based format;None;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1821667;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2011;CHEMBL3308072
CHEMBL1824144;;0;378.41;0;2.13;38;CCn1cc(C2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cn1;EC50;'=';490.0;nM;6.31;;;UO_0000065;16.67;0.31;4.18;7.06;False;CHEMBL1825608;Inhibition of BACE1 expressed in CHO cells expressing wild type human APP assessed as inhibition of amyloid beta-40 or 42 production by ELISA assay;B;BAO_0000219;cell-based format;None;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1821667;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2011;CHEMBL3308072
CHEMBL1824361;;0;422.49;0;3.57;(S)-63;CCC(=O)c1cc([C@]2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cs1;EC50;'=';10.0;nM;8.0;;;UO_0000065;18.94;0.36;4.43;9.02;False;CHEMBL1825608;Inhibition of BACE1 expressed in CHO cells expressing wild type human APP assessed as inhibition of amyloid beta-40 or 42 production by ELISA assay;B;BAO_0000219;cell-based format;None;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1821667;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2011;CHEMBL3308072
CHEMBL1923749;;0;399.47;1;5.89;25;CC(C)(C)Nc1c(-c2cccc(-c3nc4ccc(F)cc4[nH]3)c2)nc2ccccn12;EC50;'=';930.0;nM;6.03;;;UO_0000065;15.1;0.27;0.14;10.4;False;CHEMBL1926459;Inhibition of BACE1 in human H4 cells expressing APP Swedish K595N and M596L double mutant assessed as inhibition of amyloid beta (1 to 42) production after 24 hrs by whole cell assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;H4;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1921672;1;Scientific Literature;J. Med. Chem.;2011;CHEMBL3308507
CHEMBL1923750;;0;411.51;1;5.76;26;COc1ccc2nc(-c3cccc(-c4nc5ccccn5c4NC(C)(C)C)c3)[nH]c2c1;EC50;'=';310.0;nM;6.51;;;UO_0000065;15.82;0.29;0.75;9.68;False;CHEMBL1926459;Inhibition of BACE1 in human H4 cells expressing APP Swedish K595N and M596L double mutant assessed as inhibition of amyloid beta (1 to 42) production after 24 hrs by whole cell assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;H4;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1921672;1;Scientific Literature;J. Med. Chem.;2011;CHEMBL3308507
CHEMBL1923703;;0;474.59;0;4.63;12;C[C@H](NC(=O)c1cc(-c2ncc(-c3ccccc3)[nH]2)cc(N(C)S(C)(=O)=O)c1)c1ccccc1;EC50;'=';450.0;nM;6.35;;;UO_0000065;13.37;0.25;1.72;6.67;False;CHEMBL1926458;Inhibition of BACE1 in human H4 cells expressing APP Swedish K595N and M596L double mutant assessed as inhibition of amyloid beta (1 to 40) production after 24 hrs by whole cell assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;H4;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1921672;1;Scientific Literature;J. Med. Chem.;2011;CHEMBL3308507
CHEMBL567653;;0;398.49;0;4.09;30;NC1=NC(c2ccccc2)(c2cccc(Cc3ccc(F)cc3)c2)C2=NCCCN12;EC50;'=';4600.0;nM;5.34;;;UO_0000065;13.39;0.24;1.25;9.89;False;CHEMBL1061267;Inhibition of BACE1 expressed in CHO cells co-expressing human wild type APP protein by ELISA;B;BAO_0000219;cell-based format;None;None;None;CHO;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1155232;1;Scientific Literature;J. Med. Chem.;2009;CHEMBL3308072
