Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID
CHEMBL304010;;0;704.91;2;2.27;5;CC(C)C[C@H](NC(=O)C(CC(N)=O)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(O)CC(C)C(=O)NC(C(=O)NCc1ccccc1)C(C)C;Ki;'=';5.9;nM;8.23;;;UO_0000065;11.67;0.22;5.96;3.77;False;CHEMBL827180;Binding affinity against Beta-secretase;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1137865;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2004;None
CHEMBL2372119;;0;935.04;3;-0.99;13;CC(C)C[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C;Ki;'=';0.3;nM;9.52;;;UO_0000065;10.18;0.20;10.51;2.51;False;CHEMBL942114;Inhibition of BACE1;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1140597;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2007;None
CHEMBL95430;;0;739.98;2;2.44;7;CC(C)C[C@H](NC(=O)[C@H](CS(C)(=O)=O)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C;Ki;'=';9.4;nM;8.03;;;UO_0000065;10.85;0.21;5.59;3.84;False;CHEMBL942114;Inhibition of BACE1;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1140597;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2007;None
CHEMBL78946;;0;893.01;3;-1.74;OM99-2;CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O;Ki;'=';1.6;nM;8.8;;;UO_0000065;9.85;0.19;10.54;2.34;True;CHEMBL655069;Binding affinity for human brain memapsin 2 beta-Secretase (BACE);B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1144924;1;Scientific Literature;J. Med. Chem.;2003;None
CHEMBL496451;;0;452.55;1;5.91;8;C=C(C)[C@H](CC=C(C)C)Cc1c(O)cc(OC)c2c1O[C@H](c1ccc(O)cc1OC)CC2=O;Ki;'=';10600.0;nM;4.97;;;UO_0000065;10.99;0.21;-0.94;5.84;False;CHEMBL946249;Inhibition of human BACE1;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1155037;1;Scientific Literature;Bioorg. Med. Chem.;2008;None
CHEMBL362592;;0;730.95;2;2.68;3;CC(C)C[C@H](NC(=O)[C@@H]1CC(=O)NCCCCCCOC(=O)N[C@@H](C(C)C)C(=O)N1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C;Ki;'=';25.0;nM;7.6;;;UO_0000065;10.4;0.20;4.92;3.73;True;CHEMBL2399170;Inhibition of human brain BACE1;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL2396519;1;Scientific Literature;J. Med. Chem.;2013;None
CHEMBL508648;BYAKANGELICIN;0;334.32;0;2.06;34;COc1c2ccoc2c(OC[C@@H](O)C(C)(C)O)c2oc(=O)ccc12;Ki;'=';6200.0;nM;5.21;;;UO_0000065;15.58;0.30;3.15;5.09;False;CHEMBL1937035;Inhibition of recombinant human BACE1 assessed as dissociation constant of enzyme-substrate-inhibitor complex using Rh-EVNLDAEFK as substrate by Dixon and Cornish-Bowden plots analysis;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1932923;1;Scientific Literature;Bioorg. Med. Chem.;2012;None
CHEMBL1097319;;0;656.8;1;3.90;3a;CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2CN(S(=O)(=O)c3ccccc3)CCN2)c1;Ki;'=';3.0;nM;8.52;;;UO_0000065;12.98;0.25;4.62;7.16;False;CHEMBL1109071;Inhibition oh BACE1;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1157894;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2010;None
CHEMBL443493;;0;742.96;2;2.87;12b;C=CCCOC(=O)N[C@H](C(=O)N[C@@H](CC(=O)NCC=C)C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C)C(C)C;Ki;'=';61.4;nM;7.21;;;UO_0000065;9.71;0.19;4.34;3.53;False;CHEMBL828805;Binding affinity for human brain memapsin 2;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1145144;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2005;None
CHEMBL363539;;0;506.45;2;5.20;4;COCCCNC(=O)c1cc(NC(=O)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)ccc1N(C)C;Ki;'=';9400.0;nM;5.03;;;UO_0000065;9.93;0.20;-0.17;6.08;False;CHEMBL838759;Predicted binding affinity for beta secretase by linear interaction energy continuum electrostatics;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL4822;Beta-secretase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1144345;1;Scientific Literature;J. Med. Chem.;2005;None
