ID,smiles,pCheMBL,Assay,Class
CHEMBL1923700,C[C@H](NC(=O)c1cc(-c2nc3ccccc3[nH]2)cc(N(C)S(C)(=O)=O)c1)c1ccccc1,5.97,ic,0
CHEMBL2181911,CO[C@H](C)C(=O)N[C@@H](Cc1cccc(-c2nccs2)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,8.0,ic,1
CHEMBL2181907,C#Cc1ccc(F)c(C[C@H](NC(=O)COC)[C@H](O)CN[C@H]2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,7.96,ic,1
CHEMBL2181890,COCC(=O)N[C@@H](Cc1cccc(-c2ncco2)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,8.02,ic,1
CHEMBL1934292,O=C([C@@H]1CNC[C@]12CCCc1ccccc12)N1CC[C@@H](c2ccccc2)C[C@H]1c1ccccc1,6.82,ic,0
CHEMBL1821816,Cc1ccccc1-c1ccc2nc(N)c(C[C@H](C)C(=O)NCC3CCCCC3)cc2c1,6.01,ic,0
CHEMBL1821826,Cc1cccnc1-c1ccc2nc(N)c(C[C@@H](C)C(=O)NCCC(C)(C)C)cc2c1,7.8,ic,1
CHEMBL2177908,NC1=NC(c2ccnc(C(F)(F)F)c2)(c2ccc(F)c(-c3cncnc3)c2)c2cccc(F)c21,7.53,ic,1
CHEMBL3261064,NC1=N[C@](CF)(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)COC1,7.58,ic,1
CHEMBL3261053,N#Cc1ccc(C(=O)Nc2cccc([C@]34C[C@H]3CCSC(N)=N4)c2)nc1,7.51,ic,1
CHEMBL2152900,C[C@@]1(c2cc(NC(=O)c3ccn(C(F)F)n3)ccc2F)Cn2c(C#N)cnc2C(N)=N1,7.35,ic,1
CHEMBL401318,CC(=O)c1ccccc1-c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)c2ccccc2)cc(C(=O)N[C@H](C)c2ccccc2)c1,6.94,ic,0
CHEMBL1165492,CC1=C(C(=O)OCc2ccccc2)C(C)C(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)=CN1CC(=O)OC(C)C,4.79,ic,0
CHEMBL1163421,COc1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)C2=CN(CC(=O)OC(C)C)C(C)=C(C(C)=O)C2C)c1,4.58,ic,0
CHEMBL493984,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC)cc13)N(C)S(=O)(=O)CC2.O=CO,7.82,ic,1
CHEMBL2047888,CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3ccc(N)c(F)c3)[C@@H]2O)c1,6.46,ic,0
CHEMBL541020,CO/N=C(/C)c1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)cc(N2CCCCS2(=O)=O)c1,7.28,ic,1
CHEMBL509486,C=C(C)[C@H](CCC(C)(C)O)Cc1c(O)cc(O)c2c1O[C@H](c1ccccc1O)CC2=O,4.43,ic,0
CHEMBL558938,CO/N=C(/C)c1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)cc(C(=O)N[C@H](C)c2ccccc2)c1,7.5,ic,1
CHEMBL555518,C=CCO/N=C(/C)c1cc(C(=O)NC(C)c2ccc(F)cc2)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)c1,6.78,ic,0
CHEMBL555520,COc1cccc(CNC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(/C(C)=N\OCC(C)C)cc(N3CCCCS3(=O)=O)c2)c1,6.37,ic,0
CHEMBL555517,CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)cc(/C(C)=N\OC)c1,7.38,ic,1
CHEMBL553938,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNc4ccc(OC)cc4)cc13)NS(=O)(=O)CCC2,6.47,ic,0
CHEMBL3707004,CCN1CCN2CCS(=O)(=O)N(C)c3cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CC4)cc1c32,6.26,ic,0
CHEMBL554349,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNCc4cccc(C(F)(F)F)c4)cc13)N(C)S(=O)(=O)CC2,8.7,ic,1
CHEMBL455237,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2CN(Cc3ccccc3C#N)CCN2)c1,7.7,ic,1
CHEMBL521794,COCCN1CC(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2NCCN(Cc3ccccc3)C2=O)CC1=O,7.89,ic,1
CHEMBL451950,COC[C@H]1CCCN1C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2NCN(Cc3ccccc3)C2=O)c1,8.7,ic,1
CHEMBL1208905,COc1ccc([C@@H]2CC(=O)c3c(cc(OC)c(C)c3O)O2)cc1-c1c(O)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,6.46,ic,0
CHEMBL220813,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CN[C@H](C)C(=O)NCC(C)C)c1,6.3,ic,0
CHEMBL376277,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc(N(C)S(=O)(=O)N(C)C)c1)c1ccccc1,8.05,ic,1
CHEMBL540730,CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)cc(/C(C)=N\OCC(C)C)c1,7.26,ic,1
CHEMBL539973,CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)cc(C(C)O)c1,8.7,ic,1
CHEMBL541976,COc1cccc(CNC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(C(C)=O)cc(C(=O)NC(C)c3ccc(F)cc3)c2)c1,7.29,ic,1
CHEMBL539976,CCCN(CCC)C(=O)c1cc(Oc2ccccc2)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)c1,8.0,ic,1
CHEMBL539654,CCCN(CCC)C(=O)c1cc(Oc2ccc(OC)cc2)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)c1,8.0,ic,1
CHEMBL557554,CCCN(CCC)C(=O)c1cc(Oc2ccc(F)cc2)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)c1,7.66,ic,1
CHEMBL551980,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)c1,7.1,ic,1
CHEMBL556626,COc1cccc(CNC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(C(=O)NC(C)c3ccc(F)cc3)cc(C(C)O)c2)c1,6.79,ic,0
CHEMBL541977,COc1cccc(CNC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(C(C)O)cc(N3CCCCS3(=O)=O)c2)c1,6.52,ic,0
CHEMBL553612,CO/N=C(\C)c1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)cc(N(C)S(C)(=O)=O)c1,7.28,ic,1
CHEMBL553458,COc1cccc(CNC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(/C(C)=N\O)cc(N(c3ccccc3)S(C)(=O)=O)c2)c1,7.04,ic,1
CHEMBL555436,CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)cc(S(=O)(=O)c2ccccc2)c1,6.83,ic,0
CHEMBL2380442,CC1(c2cccc(-c3cncnc3)c2)N=C(N)c2ccccc2S1,6.5,ic,0
CHEMBL583888,NC1=NC(c2ccc(OC(F)(F)F)cc2)(c2cccc(CCC3CC3)c2)C2=NCCCN12,6.68,ic,0
CHEMBL567653,NC1=NC(c2ccccc2)(c2cccc(Cc3ccc(F)cc3)c2)C2=NCCCN12,5.09,ic,0
CHEMBL584521,NC1=NC(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cncnc3)c2)C2=NCCCN12,7.0,ic,0
CHEMBL582044,NC1=NC(c2ccccc2)(c2ccccc2)C2=NCCCN12,4.42,ic,0
CHEMBL2403772,C[C@@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CCC2(CC2)C(N)=N1,7.51,ic,1
CHEMBL502647,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CCN(Cc3ccccc3)CC2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,6.11,ic,0
CHEMBL2181912,CO[C@@H](C)C(=O)N[C@@H](Cc1cccc(-c2nccs2)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,7.77,ic,1
CHEMBL2181914,COC(OC)C(=O)N[C@@H](Cc1cccc(-c2nccs2)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,8.01,ic,1
CHEMBL255194,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](Cc3ccccc3)CCN2)c1,6.28,ic,0
CHEMBL2314791,CC(C)(C)OC(=O)N1CCN(CC(O)c2ccc(C(=O)c3ccccc3)c(NC(=O)[C@H](NC(=O)OCc3ccccc3)c3ccccc3)c2)CC1,5.31,ic,0
CHEMBL257278,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCC)CCN2)c1,6.97,ic,0
CHEMBL495292,O=C1N=C(NC2CCCCC2)C2(CCN(Cc3ccccc3)CC2)N1c1ccccc1,4.66,ic,0
CHEMBL560612,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CCOCC4)cc13)N(C)S(=O)(=O)CC2,7.05,ic,1
CHEMBL1934293,O=C([C@@H]1CNC[C@]12CCCc1cc(Br)ccc12)N1CC[C@@H](c2ccccc2)C[C@H]1c1ccccc1,7.16,ic,1
CHEMBL1916006,CCC(C)[C@@]1(NC(C)=O)CCN([C@@H](C)C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@H](O)CN2)C1=O,7.51,ic,1
CHEMBL1916163,CCC(C)[C@@]1(NC(C)=O)CCN([C@@H](CCc2ccccc2)C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](N)CN2)C1=O,7.47,ic,1
CHEMBL1934195,COc1c2occc2c(OC/C=C(\C)CCC=C(C)C)c2ccc(=O)oc12,5.0,ic,0
