,ESOL,Group,TMAP1,TMAP2,smiles
0,-0.77,4 (195),0.10933446884155273,-0.24768579006195068,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O 
1,-3.3,3 (189),0.04058283567428589,-0.2810431122779846,Cc1occc1C(=O)Nc2ccccc2
2,-2.06,4 (195),0.22462117671966553,-0.33251768350601196,CC(C)=CCCC(C)=CC(=O)
3,-7.87,1 (262),-0.31798678636550903,-0.02902597188949585,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43
4,-1.33,1 (262),-0.012669920921325684,0.029356062412261963,c1ccsc1
5,-1.5,1 (262),-0.23202958703041077,0.14898598194122314,c2ccc1scnc1c2 
6,-7.32,2 (217),-0.19374185800552368,-0.1643044650554657,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl
7,-5.03,1 (262),-0.3771243691444397,0.09528928995132446,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O
8,-6.29,2 (217),-0.1723252832889557,-0.21502336859703064,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl
9,-4.42,2 (217),-0.2134418785572052,-0.1451907455921173,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C 
10,1.07,4 (195),0.2358454465866089,-0.46918681263923645,O=C1CCCN1
11,-4.14,1 (262),-0.22042497992515564,0.11441171169281006,Clc1ccc2ccccc2c1
12,-2.68,5 (265),0.1902192234992981,0.14257705211639404,CCCC=C
13,-2.64,4 (195),0.3260544538497925,-0.35643821954727173,CCC1(C(=O)NCNC1=O)c2ccccc2
14,-7.96,5 (265),0.2755868434906006,0.11887049674987793,CCCCCCCCCCCCCC
15,-1.41,5 (265),0.46216118335723877,-0.02112439274787903,CC(C)Cl
16,-0.47,5 (265),0.422147274017334,-0.08300003409385681,CCC(C)CO
17,-1.0,1 (262),-0.0075945258140563965,0.04275542497634888,N#Cc1ccccc1
18,-3.64,3 (189),-0.07119685411453247,-0.42704862356185913,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C
19,-2.94,5 (265),0.33519333600997925,0.040724337100982666,CCCCCCCCCC(C)O
20,-7.43,2 (217),-0.25660616159439087,-0.3011232614517212,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl 
21,-4.5939999999999985,4 (195),0.22601968050003052,-0.47524863481521606,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3
22,-4.11,2 (217),-0.4718627333641052,0.0058135986328125,CCOP(=S)(OCC)SCSCC
23,-2.35,3 (189),-0.03646719455718994,-0.19804805517196655,CCOc1ccc(NC(=O)C)cc1
24,-5.47,3 (189),-0.17372354865074158,-0.43453431129455566,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O
