,Lipop,Group,TMAP1,TMAP2,smiles
0,3.54,1 (622),-0.24847742915153503,-0.2103607952594757,Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14
1,-1.18,3 (1192),0.1460096836090088,0.4325374960899353,COc1cc(OC)c(cc1NC(=O)CSCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23
2,3.69,5 (621),0.3450027108192444,0.05379146337509155,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl
3,3.37,3 (1192),0.29376792907714844,0.16069799661636353,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3
4,3.1,1 (622),-0.3290068507194519,-0.3824109137058258,Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1
5,3.14,1 (622),-0.42287108302116394,-0.20140793919563293,OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4
6,-0.72,3 (1192),0.13520371913909912,0.43432581424713135,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCCCC3
7,0.34,1 (622),-0.34450191259384155,-0.3499578833580017,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1
8,3.05,5 (621),0.41119372844696045,-0.02040049433708191,COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O
9,2.25,5 (621),0.2596712112426758,-0.06897088885307312,Oc1ncnc2scc(c3ccsc3)c12
10,1.51,1 (622),-0.4164426624774933,-0.20209795236587524,CS(=O)(=O)c1ccc(Oc2ccc(cc2)C#C[C@]3(O)CN4CCC3CC4)cc1
11,2.61,4 (1032),0.2736545205116272,-0.30440476536750793,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3
12,-0.08,1 (622),-0.35336244106292725,-0.20825660228729248,O=C1CCCCCN1
13,1.95,1 (622),-0.38478970527648926,-0.06837663054466248,CCCSc1ncccc1C(=O)N2CCCC2c3ccncc3
14,1.34,1 (622),-0.42517390847206116,-0.014575779438018799,CC1CCCCC1NC(=O)c2cnn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4
15,3.2,5 (621),0.3364368677139282,0.0013898015022277832,Nc1ccc(cc1)c2nc3ccc(O)cc3s2
16,1.6,3 (1192),-0.03676769137382507,0.2033291459083557,COc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N
17,3.77,4 (1032),-0.04153159260749817,-0.09151536226272583,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2
18,3.15,4 (1032),0.09461736679077148,-0.10797825455665588,COc1cc(ccc1N2CC[C@@H](O)C2)N3N=Nc4cc(sc4C3=O)c5ccc(Cl)cc5
19,0.32,5 (621),0.453238844871521,-0.163887619972229,CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4
20,2.92,1 (622),-0.1539210081100464,-0.22502493858337402,CC(C)(CCCCCOCCc1ccccc1)NCCc2ccc(O)c3nc(O)sc23
21,1.92,3 (1192),-0.021326005458831787,0.14323800802230835,Clc1ccc(cc1)C(=O)Nc2oc(nn2)C(=O)Nc3ccc(cc3)N4CCOCC4
22,3.17,1 (622),-0.32985472679138184,-0.2848759889602661,COc1ccc(Oc2cccc(CN3CCCC(C3)N4C=C(C)C(=O)NC4=O)c2)cc1
23,2.17,2 (733),-0.15058115124702454,0.1445344090461731,OC(=O)c1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2
24,1.2,1 (622),-0.19621381163597107,-0.3166317939758301,CNCC[C@@H](Oc1ccccc1C)c2ccccc2
25,3.93,3 (1192),0.07512044906616211,0.07490777969360352,Clc1ccc(N2CCN(CC2)C(=O)CCCc3ccncc3)c(Cl)c1
26,1.9,4 (1032),-0.05046984553337097,-0.41774842143058777,COc1cnc(nc1N(C)C)c2ccccn2
27,2.27,4 (1032),0.18261075019836426,-0.2454548478126526,C(CCCCNc1cc(nc2ccccc12)c3ccccc3)CCCNc4cc(nc5ccccc45)c6ccccc6
28,1.2,1 (622),-0.3990699350833893,-0.028370022773742676,CSc1c(cnn1c2ccc(cc2)C(=O)O)C(=O)NC3C4CC5CC(CC3C5)C4
29,1.14,2 (733),-0.23795050382614136,0.29669642448425293,CNC1=Nc2ncccc2C(=NC1c3cccs3)c4occn4
