,smiles,HIV,rd_8,rd_32,rd_64,rd_128,rd_512,rd_1024,rd_2048,rd_4096,rd_8192,rd_16384
0,CCC1=[O+][Cu-3]2([O+]=C(CC)C1)[O+]=C(CC)CC(CC)=[O+]2,0.0,3,5,4,2,5,3,4,1,3,1
1,C(=Cc1ccccc1)C1=[O+][Cu-3]2([O+]=C(C=Cc3ccccc3)CC(c3ccccc3)=[O+]2)[O+]=C(c2ccccc2)C1,0.0,4,3,4,3,4,4,3,3,1,4
2,CC(=O)N1c2ccccc2Sc2c1ccc1ccccc21,0.0,3,1,1,3,4,5,5,3,2,5
3,Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,0.0,3,2,4,5,1,4,4,2,4,2
4,O=S(=O)(O)CCS(=O)(=O)O,0.0,4,4,1,1,2,4,4,1,4,1
5,CCOP(=O)(Nc1cccc(Cl)c1)OCC,0.0,5,4,3,2,3,1,5,4,4,4
6,O=C(O)c1ccccc1O,0.0,3,4,3,2,1,3,4,5,5,5
7,CC1=C2C(=COC(C)C2C)C(O)=C(C(=O)O)C1=O,0.0,3,1,2,2,3,3,5,5,4,3
8,O=[N+]([O-])c1ccc(SSc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,0.0,5,1,5,2,5,5,1,3,4,1
9,O=[N+]([O-])c1ccccc1SSc1ccccc1[N+](=O)[O-],0.0,2,4,1,5,4,1,1,3,4,4
10,CC(C)(CCC(=O)O)CCC(=O)O,0.0,5,4,1,5,3,4,2,2,4,3
11,O=C(O)Cc1ccc(SSc2ccc(CC(=O)O)cc2)cc1,1.0,1,1,4,4,3,4,5,4,2,2
12,O=C(O)c1ccccc1SSc1ccccc1C(=O)O,0.0,5,4,2,4,5,4,4,2,5,5
13,CCCCCCCCCCCC(=O)Nc1ccc(SSc2ccc(NC(=O)CCCCCCCCCCC)cc2)cc1,0.0,5,1,5,2,2,2,4,2,1,2
14,Sc1cccc2c(S)cccc12,0.0,2,5,5,5,4,5,5,1,3,3
15,CCOP(N)(=O)c1ccccc1,0.0,3,1,3,2,4,4,1,4,1,4
16,NNP(=S)(NN)c1ccccc1,1.0,5,3,1,5,5,1,5,3,3,4
17,O=P(Nc1ccccc1)(Nc1ccccc1)Nc1ccccc1,0.0,3,5,5,4,2,3,3,5,5,5
18,O=C1C(O)=C(CCCc2ccc(Oc3ccccc3)cc2)C(=O)c2ccccc21,0.0,2,4,3,4,2,2,5,2,5,5
19,CC(C)N(C(C)C)P(=O)(OP(=O)(c1ccc([N+](=O)[O-])cc1)N(C(C)C)C(C)C)c1ccc([N+](=O)[O-])cc1,0.0,1,5,2,2,3,3,4,2,2,5
20,c1ccc2c(c1)Sc1ccccc1S2,0.0,4,1,3,1,3,3,5,5,5,1
21,CC(C)CCS(=O)(=O)O,0.0,4,3,5,1,3,4,1,3,2,5
22,Cc1ccccc1NC(=N)Nc1ccccc1C,0.0,3,4,3,1,3,3,3,1,4,3
23,CCCNP(=S)(NCCC)NCCC,0.0,1,4,1,4,4,5,1,4,3,2
24,CCCCCCCCCCCCNP(=S)(NCCCCCCCCCCCC)NCCCCCCCCCCCC,0.0,2,4,3,3,2,2,5,4,2,4
25,O=C1OC(=O)c2c1ccc1ccccc21,0.0,5,1,4,5,2,3,2,4,2,4
26,S=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0.0,5,4,4,2,2,4,1,1,4,2
27,Clc1ccnc2c1ccc1c(Cl)ccnc12,0.0,5,4,4,5,3,3,1,4,2,3
28,O=C(OOC(=O)c1ccccc1)c1ccccc1,0.0,5,3,3,3,2,1,3,2,4,1
29,c1ccc2nsnc2c1,0.0,1,1,4,1,1,1,2,4,5,1
30,S=C1NCCS1,0.0,2,5,5,1,1,5,1,3,5,4
31,CN(C)C1=[S+][Zn-2]2(S1)SC(N(C)C)=[S+]2,0.0,3,1,5,4,4,5,3,2,5,1
32,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0.0,2,2,4,5,4,4,2,5,1,4
33,[N-]=[N+]=CC(=O)OCC(N)C(=O)O,0.0,5,5,3,4,2,3,2,1,2,3
34,Nc1nc(O)c2nn[nH]c2n1,0.0,3,4,2,4,2,5,2,4,1,2
35,CS(=O)(=O)OCCCCOS(C)(=O)=O,0.0,2,1,3,2,4,1,4,4,5,3
36,Nc1nc(S)c2nc[nH]c2n1,0.0,1,3,4,4,5,2,3,3,2,5
37,Sc1ncnc2[nH]cnc12,0.0,4,1,1,3,3,2,5,4,4,2
38,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,0.0,4,3,5,1,4,3,5,3,3,5
39,CN(CCCl)CCCl,0.0,5,4,1,3,1,3,3,3,3,1
40,CS(C)=O,0.0,5,2,4,1,3,5,1,4,1,3
41,CCCCOB(OCCCC)OCCCC,0.0,1,2,1,5,3,5,5,1,5,2
42,CCCCCOB(OCCCCC)OCCCCC,0.0,4,3,2,5,1,1,3,5,3,4
43,CC1CC(C)(C)OB(OC(C)CC(C)(C)OB2OC(C)CC(C)(C)O2)O1,0.0,5,3,5,3,3,3,3,1,2,5
44,c1ccn2nnnc2c1,0.0,1,1,2,3,5,2,1,1,2,2
45,c1ccn2nncc2c1,0.0,2,5,5,1,1,3,5,5,1,1
46,Clc1ccc(Cl)c(SSc2cc(Cl)ccc2Cl)c1,0.0,5,2,3,3,5,3,5,1,1,2
47,CN(C)c1ccc(SSc2ccc(N(C)C)cc2)cc1,0.0,4,1,4,1,5,3,1,2,5,3
48,Brc1ccc(SSc2ccc(Br)cc2)cc1,0.0,1,5,2,1,3,1,3,3,2,5
49,Cc1ccc(SSc2ccc(C)cc2)cc1,0.0,5,3,2,1,2,5,3,5,3,2
50,COc1ccc(SSc2ccc(OC)cc2)cc1,0.0,2,1,2,3,2,2,4,4,5,1
51,NC1(C(=O)O)CCCC1,0.0,2,5,5,3,1,4,3,4,5,1
52,CC(C)(Br)C(=O)C(Br)Br,0.0,1,3,2,1,5,1,3,3,2,1
53,CCOC(=S)SCCSC,0.0,5,2,4,2,1,3,2,4,2,3
54,CCOCC(C)(CO)CC(C)CO,0.0,1,5,1,5,4,5,4,3,2,4
55,O=C(O)C1CC1,0.0,1,1,3,4,2,1,3,4,3,4
56,O=C(O)C1(O)CC(O)C(O)C(O)C1,0.0,2,4,1,5,5,5,2,3,5,4
57,Nc1c(Cl)cc(Cl)cc1C(=O)O,0.0,5,5,1,2,2,1,4,4,1,1
58,CCCCCOC(=S)S,0.0,5,3,4,4,5,5,3,3,2,4
59,O=C(O)c1ccc([N+](=O)[O-])cc1S(=O)(=O)O,0.0,5,5,3,1,3,5,5,4,1,3
60,NC(=O)c1cc(O)c(O)c(O)c1,0.0,3,1,4,1,5,4,4,5,1,2
61,C1C[S+]2CC[S+]1CC2,0.0,5,1,3,4,3,4,4,3,2,4
62,Nc1cc(Cl)c(S(=O)(=O)O)cc1Cl,0.0,3,4,1,2,3,1,3,2,4,5
63,CC12CCC(C(Br)C1=O)C2(C)CS(=O)(=O)O,0.0,5,4,3,1,5,1,5,3,1,4
64,CCC(C)(C(=O)O)C(=O)O,0.0,1,3,5,4,2,4,2,3,1,1
65,CC(C)C(C(=O)O)C(=O)O,0.0,5,4,2,1,2,5,1,4,2,1
66,CCOC(=O)C(=O)C1CCCCC1=O,0.0,1,2,4,3,5,2,4,5,1,3
67,CCOC(=O)CNS(=O)(=O)c1ccccc1,0.0,1,1,5,5,3,4,3,4,1,1
68,CCN(CC)C(C)(O)CN,0.0,5,5,1,2,2,2,4,1,2,3
69,Cc1cccc2c(=O)c3ccccc3oc12,0.0,5,5,4,5,4,2,1,5,2,1
70,CCCCCCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.0,5,5,2,1,1,2,5,2,4,3
71,C1CN[Co-4]23(N1)(NCCN2)NCCN3,0.0,2,2,1,5,1,4,5,4,4,2
72,CC(C)OC(=S)SSC(=S)OC(C)C,0.0,4,1,4,2,5,3,4,1,1,2
73,O=C(Nc1ccccc1)OCC1OCOC(COC(=O)Nc2ccccc2)C1OC(=O)Nc1ccccc1,0.0,5,5,1,2,1,4,4,1,3,2
