,smiles,Lipop,rd_8,rd_32,rd_64,rd_128,rd_512,rd_1024,rd_2048,rd_4096,rd_8192,rd_16384
0,Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14,3.54,3,5,4,3,4,1,3,3,5,5
1,COc1cc(OC)c(cc1NC(=O)CSCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,-1.18,5,4,1,3,1,1,5,1,3,1
2,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl,3.69,5,3,2,5,5,4,3,2,5,2
3,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,3.37,5,4,1,1,1,2,5,3,1,4
4,Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,3.1,4,4,3,4,2,4,3,5,4,5
5,OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4,3.14,5,3,4,3,2,1,1,5,2,1
6,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCCCC3,-0.72,2,2,4,4,2,3,4,4,2,3
7,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,0.34,2,1,3,2,5,5,3,5,1,1
8,COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O,3.05,4,3,5,2,1,5,3,5,1,3
9,Oc1ncnc2scc(c3ccsc3)c12,2.25,4,5,1,5,5,4,4,2,3,4
10,CS(=O)(=O)c1ccc(Oc2ccc(cc2)C#C[C@]3(O)CN4CCC3CC4)cc1,1.51,2,5,4,2,3,2,2,2,5,2
11,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,2.61,4,2,4,5,4,5,4,4,5,3
12,O=C1CCCCCN1,-0.08,3,5,2,2,2,5,4,4,3,3
13,CCCSc1ncccc1C(=O)N2CCCC2c3ccncc3,1.95,5,1,2,5,2,2,4,2,2,4
14,CC1CCCCC1NC(=O)c2cnn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4,1.34,3,4,3,3,5,4,2,4,4,5
15,Nc1ccc(cc1)c2nc3ccc(O)cc3s2,3.2,1,2,5,1,1,2,1,2,2,2
16,COc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N,1.6,4,3,2,5,4,4,1,1,5,3
17,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2,3.77,5,4,1,1,4,2,5,1,2,2
18,COc1cc(ccc1N2CC[C@@H](O)C2)N3N=Nc4cc(sc4C3=O)c5ccc(Cl)cc5,3.15,3,1,3,5,3,2,3,3,4,3
19,CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4,0.32,1,2,1,5,2,1,2,4,4,4
20,CC(C)(CCCCCOCCc1ccccc1)NCCc2ccc(O)c3nc(O)sc23,2.92,4,2,3,5,4,5,3,3,5,5
21,Clc1ccc(cc1)C(=O)Nc2oc(nn2)C(=O)Nc3ccc(cc3)N4CCOCC4,1.92,5,5,1,1,1,2,3,2,3,3
22,COc1ccc(Oc2cccc(CN3CCCC(C3)N4C=C(C)C(=O)NC4=O)c2)cc1,3.17,2,5,5,1,4,2,1,3,3,2
23,OC(=O)c1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,2.17,3,2,5,2,4,2,5,1,5,4
24,CNCC[C@@H](Oc1ccccc1C)c2ccccc2,1.2,5,5,1,2,2,1,3,3,1,4
25,Clc1ccc(N2CCN(CC2)C(=O)CCCc3ccncc3)c(Cl)c1,3.93,5,3,4,2,4,1,5,3,1,5
26,COc1cnc(nc1N(C)C)c2ccccn2,1.9,3,2,2,2,4,1,1,1,3,2
27,C(CCCCNc1cc(nc2ccccc12)c3ccccc3)CCCNc4cc(nc5ccccc45)c6ccccc6,2.27,5,4,3,2,4,2,3,2,1,3
