,smiles,malaria,rd_8,rd_32,rd_64,rd_128,rd_512,rd_1024,rd_2048,rd_4096,rd_8192,rd_16384
0,Cc1nc2cc(ccc2[nH]1)c3ccc4[nH]c(C)nc4c3,0.7385984434638627,4,5,2,3,2,4,4,3,2,5
1,CN(C1CCN(C)C1)c2cc(C)nc(Nc3ccc(Cl)cc3)n2,-1.090085061035259,1,4,2,3,4,4,3,2,5,3
2,CN(C)CCCOc1cc(NC(=O)Nc2ccc(c3ccncc3)c4ccccc24)ccc1I,-0.358682126983545,2,3,2,2,5,5,3,4,2,4
3,COc1ccc(cc1CSc2nc3ccccc3[nH]2)C4NCCc5c4[nH]c6ccccc56,0.5613286059390974,1,5,4,2,1,2,4,1,3,3
4,CCN1C(=Nc2sc3CN(C)CCc3c2C1=O)SCc4ccc(F)cc4,-1.371137130520022,4,5,2,1,2,4,1,5,4,2
5,CC(C)NC(=O)c1cccc(c1)c2ccc(OCCN3CCCC3c4cc5ccccc5[nH]4)cc2,-0.04248481165137531,5,1,3,2,1,2,2,5,4,1
6,CC(=O)Nc1nc(cs1)C(=O)Nc2cccc(c2)c3ccc(s3)c4nc5c(C)cccc5[nH]4,-1.506096122532669,3,3,5,4,4,5,2,4,3,2
7,CC(C)CC(C)NC(=O)C1Cc2c([nH]c3cc(Cl)ccc23)C4(CCN(CCc5ccccc5)CC4)N1,-0.20494655303695747,4,4,2,2,4,5,5,5,3,3
8,COc1cnc(nc1NC(C)C)c2ccccn2,-0.3396773675701613,5,2,5,4,3,5,5,1,1,3
9,COc1ccc(cc1)C2Sc3ccccc3N=C4C2C(=O)c5ccccc45,0.27132400583896304,2,3,1,2,3,5,5,1,1,1
10,COc1ccc(cc1OC)C2CC(=C3C(C(=C(C)N=C3C2)C(=O)OC(C)C)c4ccccc4F)O,-2.786776429465029,4,3,2,4,5,4,4,4,4,4
11,CCOc1cc(C)ccc1C2CCN(CCCCNC(=O)c3ccc(NC(=O)c4cc(Cl)cc(Cl)c4)cc3)CC2,-1.0354805581591175,1,1,5,1,2,1,1,1,4,1
12,CN1\C(=C\c2cccc[n+]2C)\Sc3ccc(C)cc13,-1.397557553398601,5,4,1,4,3,1,4,3,5,5
13,CCOc1cc(C=NN=C(N)N)ccc1OCc2ccccc2,-1.449873342762762,5,3,4,1,3,1,3,2,2,3
14,CC(C)CCNC(=O)CN1C(=O)c2cccnc2Oc3ccccc13,1.3987168811184478,1,3,5,4,2,5,2,1,1,5
15,O=C(Nc1ccc(Oc2ccccc2)cc1)N(Cc3ccc(cc3)c4ccc(CN5CCNCC5)cc4)C6CCN(Cc7ccccc7)CC6,-0.12072745570974334,3,4,4,1,4,4,2,4,2,2
16,COC(=O)c1ccc(CC(C)NCC(O)c2cccc(c2)C(F)(F)F)cc1F,0.05521849524736325,3,1,2,3,3,4,4,3,3,1
17,CCN(CC)CCCN1CCN(CC1)C(=O)c2cccc(c2)c3noc(n3)C(F)(F)F,-1.8697104161592943,5,5,3,1,5,4,1,2,4,4
18,CN(C)C(=O)CCCn1c(CNCCCNc2cc(O)c3ccccc3n2)cc4c(Cl)cc(Cl)cc14,0.17027118769491045,4,3,3,5,4,1,5,4,3,5
19,CCOc1ccc2OCN(Cc3ccc(Cl)cc3)Cc2c1,0.3993799644522163,1,4,4,1,3,1,1,5,5,5
20,Cc1ccc(cc1F)c2nc(cs2)C(=O)N(CCC#N)Cc3cccnc3,1.2074069010602182,3,1,3,1,3,5,4,4,5,5
21,Ic1ccc(cc1)N=C2C(N3CCCCC3)C(=O)c4ccccc4C2=O,-1.8773173575897013,2,4,4,3,3,4,2,1,1,5
22,Oc1ccc(cc1c2ccc(Cl)c(Cl)c2)C(=O)NCCCCCC(=O)NCc3cccc(c3)C(F)(F)F,-0.3126652109740576,3,2,5,2,2,5,2,1,2,3
23,COc1cc2nc(cc(N)c2cc1OC)c3ccc(Br)cc3,-1.7525691449980507,1,1,4,4,5,3,5,2,3,1
24,COC(=O)c1ccc2[nH]c(nc2c1)c3ccc(\C=C\C(=O)NC4CCN(Cc5ccccc5)CC4)cc3,-0.3412877281117057,3,5,1,3,2,4,5,2,1,4
25,CCCCCCCCN1CCN(CCCCCCNc2c3ccccc3nc4ccccc24)CC1,-1.8232384893284288,5,3,2,3,3,4,3,1,2,3
26,O=C(Nc1ccc(cc1)c2noc(CCc3ccccc3)n2)c4cccs4,-0.1020327255651516,5,2,4,3,2,4,3,4,4,1
27,CCN(CC)CCCNC(=S)N(Cc1cc2ccc(OC)cc2nc1O)C3CCCCC3,1.3937663759585917,4,5,2,4,2,1,5,3,2,5
28,CCOC(=O)C(Oc1ccc2ccccc2c1)C(=O)OCC,-0.2803759168591065,5,4,2,5,4,4,1,3,3,1
29,Cc1ccc(C=NNC(=O)c2nnn(c2c3ccc(cc3)[N+](=O)[O-])c4nonc4N)cc1,-1.5911069557493769,4,1,1,1,5,1,2,2,5,3
30,Fc1ccc(NC(=O)c2cnc(N3CCN(CC3)c4ccncc4)c(Cl)c2)cc1,-0.307443581873312,1,4,1,2,5,4,2,4,5,5
31,COc1ccc(C)c2sc(nc12)N(Cc3cccnc3)C(=O)c4ccc(cc4)C#N,2.70805020110221,4,4,5,1,1,3,1,5,5,5
32,CCc1ccc(CN2CCC(CNC(=O)c3cc(cs3)c4cccc(F)c4)C2)cc1,0.3046687497089905,3,5,4,5,2,3,4,3,2,5
33,Cc1cc(C)cc(c1)N2C(=NC(=NC2(C)C)N)N,-3.1709957413632432,3,5,1,4,5,2,3,3,1,2
