task_name, seed, valid_auc, test_auc
BACE, 2, 0.8647771147771147, 0.8855882352941177
BACE, 16, 0.8833333333333333, 0.8247574497574497
BACE, 32, 0.8837904360056259, 0.8568815331010453
BACE, 64, 0.9416225749559083, 0.92
BACE, 128, 0.9415173867228662, 0.7868430397727272
BACE, 256, 0.8767111267111267, 0.8262885678616015
BACE, 512, 0.8392167193537056, 0.9424019607843137
BACE, 1024, 0.9343309859154929, 0.9021555763823805
BACE, 2048, 0.9424226441631506, 0.9275261324041812
BACE, 4096, 0.8524921024921026, 0.8487491190979564
BBBP, 2, 0.90671031096563, 0.9392446633825944
BBBP, 16, 0.8914034516444155, 0.9070276182663385
BBBP, 32, 0.8709248170326015, 0.8367710720651897
BBBP, 64, 0.9024084778420038, 0.8629909766454352
BBBP, 128, 0.9091169068862961, 0.931072695035461
BBBP, 256, 0.8935352078827206, 0.9332842776551385
BBBP, 512, 0.9458653591306653, 0.9126905702992659
BBBP, 1024, 0.9360537836147593, 0.9058064516129033
BBBP, 2048, 0.8780712530712531, 0.9094111271676301
BBBP, 4096, 0.9225995635570103, 0.9461929483019684
HIV, 2, 0.7764823601854535, 0.7549337052308192
HIV, 16, 0.8347455014121681, 0.8503678842571278
HIV, 32, 0.8204990949721629, 0.8283186383971393
HIV, 64, 0.8274928338548391, 0.8077100260806207
HIV, 128, 0.7572858825509002, 0.8070898278073619
HIV, 256, 0.783230618116704, 0.7845697127531387
HIV, 512, 0.8547051697489423, 0.7311290960838928
HIV, 1024, 0.7946069289024528, 0.8260126616783197
HIV, 2048, 0.7944767350652611, 0.7713573784424603
HIV, 4096, 0.8268387391502969, 0.8304738562091504
