task_name, seed, valid_auc, test_auc
MUV, 2, 0.11822826004325568, 0.22294325841383106
MUV, 16, 0.11190214680587923, 0.12165482116896441
MUV, 32, 0.13245793312531773, 0.07531416253652241
MUV, 64, 0.1731635860645499, 0.11045737803051364
MUV, 128, 0.1969607820371985, 0.08929102548794934
MUV, 256, 0.06488471563141729, 0.05105696440206661
MUV, 512, 0.12987672293549019, 0.06261800971884049
MUV, 1024, 0.16779912786484033, 0.12503748233834902
MUV, 2048, 0.14665622122409697, 0.031810442578276484
MUV, 4096, 0.17289274641951238, 0.03078252794547717
