task_name, seed, valid_rmse, test_rmse
ESOL, 2, 0.5562257478516405, 0.6250197699478259
ESOL, 16, 0.6690899845663333, 0.6224911891143242
ESOL, 32, 0.5432530954247956, 0.6802574137748745
ESOL, 64, 0.557230824328556, 0.6420977655780724
ESOL, 128, 0.668502031395599, 0.6708210184694142
ESOL, 256, 0.5533134950568763, 0.631959341433107
ESOL, 512, 0.6723377421222919, 0.5309469550780157
ESOL, 1024, 0.6140616569625126, 0.5069914556220431
ESOL, 2048, 0.46542994133305016, 0.6054278198426334
ESOL, 4096, 0.6004315730197425, 0.5788168289243394
