task_name, seed, valid_auc, test_auc
Tox21, 2, 0.8082867614091723, 0.8623831292677568
Tox21, 16, 0.8315379673947949, 0.8452758028231839
Tox21, 32, 0.8555731850877333, 0.8448752404318475
Tox21, 64, 0.8583714262947385, 0.8477778058371425
Tox21, 128, 0.8731105033513505, 0.8311982861611133
Tox21, 256, 0.8321211604413641, 0.8531266474015071
Tox21, 512, 0.8376959650065121, 0.8313674585802762
Tox21, 1024, 0.841694632832335, 0.8587453367610357
Tox21, 2048, 0.8545779043662382, 0.8459613253374766
Tox21, 4096, 0.8326005902000162, 0.833622522597293
