,task_name,seed,valid_roc,test_roc,valid_prc,test_prc
0,MUV,2,0.727191113,0.707880197,0.083032455,0.08091441
1,MUV,16,0.730207523,0.768587932,0.019663601,0.030348873
2,MUV,32,0.809754613,0.802814325,0.061261822,0.134784797
3,MUV,64,0.786494995,0.733797051,0.025692518,0.078627083
4,MUV,128,0.808934801,0.748049293,0.146424145,0.151056651
5,MUV,256,0.736525568,0.742234687,0.059265203,0.020286327
6,MUV,512,0.840945754,0.728736699,0.025353309,0.060644464
7,MUV,1024,0.774503169,0.795415113,0.031789825,0.020926295
8,MUV,2048,0.806919808,0.751303858,0.062568921,0.099227854
9,MUV,4096,0.84906409,0.696077081,0.077581951,0.066223932
10,PCBA,2,0.886224011,0.889740101,0.313863976,0.311102706
11,PCBA,16,0.88916501,0.88326463,0.331285981,0.308217073
12,PCBA,32,0.89251291,0.886804219,0.315517476,0.311857904
13,PCBA,64,0.890137922,0.885495648,0.330409422,0.311777677
14,PCBA,128,0.893361178,0.885954987,0.319830516,0.303743125
15,PCBA,256,0.892349228,0.89397357,0.318294981,0.312020576
16,PCBA,512,0.890268992,0.888070823,0.321344094,0.317582958
17,PCBA,1024,0.887247294,0.891646734,0.312268514,0.313265747
18,PCBA,2048,0.887615957,0.895404341,0.313785053,0.325144158
19,PCBA,4096,0.886287439,0.892454615,0.319082866,0.324133948
20,ChEMBL,2,0.792119507,0.710259952,0.742123909,0.624235366
21,ChEMBL,16,0.744133288,0.74500992,0.707517411,0.704330223
22,ChEMBL,32,0.722973061,0.69892016,0.701552356,0.627009279
23,ChEMBL,64,0.732002286,0.78094272,0.695755338,0.721943544
24,ChEMBL,128,0.728716305,0.708933335,0.684023065,0.648759701
25,ChEMBL,256,0.756355837,0.729865864,0.731989648,0.670423484
26,ChEMBL,512,0.771114943,0.772593819,0.73514756,0.740463819
27,ChEMBL,1024,0.740651952,0.739250815,0.700313827,0.678551717
28,ChEMBL,2048,0.718662232,0.794940061,0.617582276,0.740686262
29,ChEMBL,4096,0.753674507,0.697505013,0.718129935,0.664286201
