,task_name,seed,valid_roc,test_roc,valid_prc,test_prc
0,MUV,2,0.802682134,0.810091012,0.11822826,0.222943258
1,MUV,16,0.858131641,0.831862526,0.111902147,0.121654821
2,MUV,32,0.816194757,0.797963324,0.132457933,0.075314163
3,MUV,64,0.822409385,0.777863736,0.173163586,0.110457378
4,MUV,128,0.820598899,0.769603183,0.196960782,0.089291025
5,MUV,256,0.733054496,0.817285891,0.064884716,0.091056964
6,MUV,512,0.827602403,0.751563832,0.129876723,0.06261801
7,MUV,1024,0.735847755,0.885383539,0.167799128,0.125037482
8,MUV,2048,0.804194869,0.799154888,0.146656221,0.103810443
9,MUV,4096,0.832786548,0.76178465,0.172892746,0.083782528
10,PCBA,2,0.872440554,0.863358041,0.26185748,0.252709647
11,PCBA,16,0.87280436,0.863728236,0.272364303,0.270143518
12,PCBA,32,0.873047608,0.868922938,0.258271613,0.254321066
13,PCBA,64,0.866358469,0.867008363,0.256918933,0.262665984
14,PCBA,128,0.870674903,0.862642365,0.259109842,0.248257793
15,PCBA,256,0.876511621,0.868533085,0.258740993,0.260648826
16,PCBA,512,0.869217045,0.873405553,0.268720652,0.267784311
17,PCBA,1024,0.860774168,0.867216257,0.257831718,0.258078182
18,PCBA,2048,0.865476764,0.869497736,0.258269684,0.256718326
19,PCBA,4096,0.872272234,0.873329284,0.256322878,0.268848843
20,ChEMBL,2,0.778428285,0.753913481,0.73278249,0.667464778
21,ChEMBL,16,0.762715896,0.740671503,0.718841793,0.705965409
22,ChEMBL,32,0.757970166,0.707818459,0.709621444,0.629857605
23,ChEMBL,64,0.740866037,0.773836231,0.685525004,0.713259902
24,ChEMBL,128,0.750442902,0.707623838,0.699768181,0.637523676
25,ChEMBL,256,0.778550443,0.753495179,0.730330267,0.680422023
26,ChEMBL,512,0.758686981,0.795746403,0.72051403,0.747566565
27,ChEMBL,1024,0.769104793,0.75965829,0.70698073,0.685824827
28,ChEMBL,2048,0.727734054,0.798364411,0.624012609,0.741581799
29,ChEMBL,4096,0.755804139,0.713425028,0.723948117,0.668456237
