,task_name,seed,split,test_metric,test_performance,model
0,BACE,2,scaffold,ROC_AUC,0.848,AttentiveFP
1,BACE,16,scaffold,ROC_AUC,0.729,AttentiveFP
2,BACE,32,scaffold,ROC_AUC,0.782,AttentiveFP
3,BACE,64,scaffold,ROC_AUC,0.895,AttentiveFP
4,BACE,128,scaffold,ROC_AUC,0.737,AttentiveFP
5,BACE,256,scaffold,ROC_AUC,0.683,AttentiveFP
6,BACE,512,scaffold,ROC_AUC,0.902,AttentiveFP
7,BACE,1024,scaffold,ROC_AUC,0.842,AttentiveFP
8,BACE,2048,scaffold,ROC_AUC,0.917,AttentiveFP
9,BACE,4096,scaffold,ROC_AUC,0.686,AttentiveFP
10,BBBP,2,scaffold,ROC_AUC,0.802,AttentiveFP
11,BBBP,16,scaffold,ROC_AUC,0.855,AttentiveFP
12,BBBP,32,scaffold,ROC_AUC,0.805,AttentiveFP
13,BBBP,64,scaffold,ROC_AUC,0.859,AttentiveFP
14,BBBP,128,scaffold,ROC_AUC,0.873,AttentiveFP
15,BBBP,256,scaffold,ROC_AUC,0.875,AttentiveFP
16,BBBP,512,scaffold,ROC_AUC,0.803,AttentiveFP
17,BBBP,1024,scaffold,ROC_AUC,0.865,AttentiveFP
18,BBBP,2048,scaffold,ROC_AUC,0.590,AttentiveFP
19,BBBP,4096,scaffold,ROC_AUC,0.914,AttentiveFP
20,HIV,2,scaffold,ROC_AUC,0.663,AttentiveFP
21,HIV,16,scaffold,ROC_AUC,0.818,AttentiveFP
22,HIV,32,scaffold,ROC_AUC,0.783,AttentiveFP
23,HIV,64,scaffold,ROC_AUC,0.808,AttentiveFP
24,HIV,128,scaffold,ROC_AUC,0.797,AttentiveFP
25,HIV,256,scaffold,ROC_AUC,0.715,AttentiveFP
26,HIV,512,scaffold,ROC_AUC,0.736,AttentiveFP
27,HIV,1024,scaffold,ROC_AUC,0.804,AttentiveFP
28,HIV,2048,scaffold,ROC_AUC,0.787,AttentiveFP
29,HIV,4096,scaffold,ROC_AUC,0.771,AttentiveFP
0,Tox21,2,random,ROC_AUC,0.847,AttentiveFP
1,Tox21,16,random,ROC_AUC,0.82,AttentiveFP
2,Tox21,32,random,ROC_AUC,0.853,AttentiveFP
3,Tox21,64,random,ROC_AUC,0.838,AttentiveFP
4,Tox21,128,random,ROC_AUC,0.835,AttentiveFP
5,Tox21,256,random,ROC_AUC,0.843,AttentiveFP
6,Tox21,512,random,ROC_AUC,0.843,AttentiveFP
7,Tox21,1024,random,ROC_AUC,0.858,AttentiveFP
8,Tox21,2048,random,ROC_AUC,0.847,AttentiveFP
9,Tox21,4096,random,ROC_AUC,0.833,AttentiveFP
10,SIDER,2,random,ROC_AUC,0.652,AttentiveFP
11,SIDER,16,random,ROC_AUC,0.612,AttentiveFP
12,SIDER,32,random,ROC_AUC,0.673,AttentiveFP
13,SIDER,64,random,ROC_AUC,0.627,AttentiveFP
14,SIDER,128,random,ROC_AUC,0.643,AttentiveFP
15,SIDER,256,random,ROC_AUC,0.561,AttentiveFP
16,SIDER,512,random,ROC_AUC,0.589,AttentiveFP
17,SIDER,1024,random,ROC_AUC,0.641,AttentiveFP
18,SIDER,2048,random,ROC_AUC,0.626,AttentiveFP
19,SIDER,4096,random,ROC_AUC,0.607,AttentiveFP
20,ToxCast,2,random,ROC_AUC,0.74,AttentiveFP
21,ToxCast,16,random,ROC_AUC,0.751,AttentiveFP
22,ToxCast,32,random,ROC_AUC,0.751,AttentiveFP
23,ToxCast,64,random,ROC_AUC,0.752,AttentiveFP
24,ToxCast,128,random,ROC_AUC,0.772,AttentiveFP
25,ToxCast,256,random,ROC_AUC,0.753,AttentiveFP
26,ToxCast,512,random,ROC_AUC,0.759,AttentiveFP
27,ToxCast,1024,random,ROC_AUC,0.754,AttentiveFP
28,ToxCast,2048,random,ROC_AUC,0.762,AttentiveFP
29,ToxCast,4096,random,ROC_AUC,0.762,AttentiveFP
0,FreeSolv,2,random,RMSE,1.114,AttentiveFP
1,FreeSolv,16,random,RMSE,1.243,AttentiveFP
2,FreeSolv,32,random,RMSE,1.188,AttentiveFP
3,FreeSolv,64,random,RMSE,1.107,AttentiveFP
4,FreeSolv,128,random,RMSE,1.076,AttentiveFP
5,FreeSolv,256,random,RMSE,1.078,AttentiveFP
6,FreeSolv,512,random,RMSE,0.873,AttentiveFP
7,FreeSolv,1024,random,RMSE,0.869,AttentiveFP
8,FreeSolv,2048,random,RMSE,0.81,AttentiveFP
9,FreeSolv,4096,random,RMSE,0.85,AttentiveFP
10,ESOL,2,random,RMSE,0.609,AttentiveFP
11,ESOL,16,random,RMSE,0.634,AttentiveFP
12,ESOL,32,random,RMSE,0.59,AttentiveFP
13,ESOL,64,random,RMSE,0.581,AttentiveFP
14,ESOL,128,random,RMSE,0.688,AttentiveFP
15,ESOL,256,random,RMSE,0.572,AttentiveFP
16,ESOL,512,random,RMSE,0.457,AttentiveFP
17,ESOL,1024,random,RMSE,0.639,AttentiveFP
18,ESOL,2048,random,RMSE,0.599,AttentiveFP
19,ESOL,4096,random,RMSE,0.526,AttentiveFP
20,Malaria,2,random,RMSE,1.018,AttentiveFP
21,Malaria,16,random,RMSE,1.049,AttentiveFP
