,task_name,seed,split,test_metric,test_performance,model
0,BACE,2,scaffold,ROC_AUC,0.846,DMPNN
1,BACE,16,scaffold,ROC_AUC,0.699,DMPNN
2,BACE,32,scaffold,ROC_AUC,0.793,DMPNN
3,BACE,64,scaffold,ROC_AUC,0.897,DMPNN
4,BACE,128,scaffold,ROC_AUC,0.811,DMPNN
5,BACE,256,scaffold,ROC_AUC,0.851,DMPNN
6,BACE,512,scaffold,ROC_AUC,0.923,DMPNN
7,BACE,1024,scaffold,ROC_AUC,0.812,DMPNN
8,BACE,2048,scaffold,ROC_AUC,0.892,DMPNN
9,BACE,4096,scaffold,ROC_AUC,0.85,DMPNN
10,BBBP,2,scaffold,ROC_AUC,0.929,DMPNN
11,BBBP,16,scaffold,ROC_AUC,0.897,DMPNN
12,BBBP,32,scaffold,ROC_AUC,0.85,DMPNN
13,BBBP,64,scaffold,ROC_AUC,0.874,DMPNN
14,BBBP,128,scaffold,ROC_AUC,0.952,DMPNN
15,BBBP,256,scaffold,ROC_AUC,0.891,DMPNN
16,BBBP,512,scaffold,ROC_AUC,0.929,DMPNN
17,BBBP,1024,scaffold,ROC_AUC,0.903,DMPNN
18,BBBP,2048,scaffold,ROC_AUC,0.911,DMPNN
19,BBBP,4096,scaffold,ROC_AUC,0.924,DMPNN
20,HIV,2,scaffold,ROC_AUC,0.732,DMPNN
21,HIV,16,scaffold,ROC_AUC,0.805,DMPNN
22,HIV,32,scaffold,ROC_AUC,0.826,DMPNN
23,HIV,64,scaffold,ROC_AUC,0.801,DMPNN
24,HIV,128,scaffold,ROC_AUC,0.79,DMPNN
25,HIV,256,scaffold,ROC_AUC,0.793,DMPNN
26,HIV,512,scaffold,ROC_AUC,0.727,DMPNN
27,HIV,1024,scaffold,ROC_AUC,0.796,DMPNN
28,HIV,2048,scaffold,ROC_AUC,0.762,DMPNN
29,HIV,4096,scaffold,ROC_AUC,0.836,DMPNN
0,Tox21,2,random,ROC_AUC,0.844,DMPNN
1,Tox21,16,random,ROC_AUC,0.844,DMPNN
2,Tox21,32,random,ROC_AUC,0.831,DMPNN
3,Tox21,64,random,ROC_AUC,0.847,DMPNN
4,Tox21,128,random,ROC_AUC,0.837,DMPNN
5,Tox21,256,random,ROC_AUC,0.847,DMPNN
6,Tox21,512,random,ROC_AUC,0.83,DMPNN
7,Tox21,1024,random,ROC_AUC,0.861,DMPNN
8,Tox21,2048,random,ROC_AUC,0.84,DMPNN
9,Tox21,4096,random,ROC_AUC,0.824,DMPNN
10,SIDER,2,random,ROC_AUC,0.661,DMPNN
11,SIDER,16,random,ROC_AUC,0.653,DMPNN
12,SIDER,32,random,ROC_AUC,0.634,DMPNN
13,SIDER,64,random,ROC_AUC,0.643,DMPNN
14,SIDER,128,random,ROC_AUC,0.644,DMPNN
15,SIDER,256,random,ROC_AUC,0.624,DMPNN
16,SIDER,512,random,ROC_AUC,0.602,DMPNN
17,SIDER,1024,random,ROC_AUC,0.635,DMPNN
18,SIDER,2048,random,ROC_AUC,0.615,DMPNN
19,SIDER,4096,random,ROC_AUC,0.617,DMPNN
20,ToxCast,2,random,ROC_AUC,0.714,DMPNN
21,ToxCast,16,random,ROC_AUC,0.739,DMPNN
22,ToxCast,32,random,ROC_AUC,0.728,DMPNN
23,ToxCast,64,random,ROC_AUC,0.757,DMPNN
24,ToxCast,128,random,ROC_AUC,0.767,DMPNN
25,ToxCast,256,random,ROC_AUC,0.741,DMPNN
26,ToxCast,512,random,ROC_AUC,0.751,DMPNN
27,ToxCast,1024,random,ROC_AUC,0.743,DMPNN
28,ToxCast,2048,random,ROC_AUC,0.759,DMPNN
29,ToxCast,4096,random,ROC_AUC,0.733,DMPNN
0,FreeSolv,2,random,RMSE,1.396,DMPNN
1,FreeSolv,16,random,RMSE,1.148,DMPNN
2,FreeSolv,32,random,RMSE,0.963,DMPNN
3,FreeSolv,64,random,RMSE,1.18,DMPNN
4,FreeSolv,128,random,RMSE,1.029,DMPNN
5,FreeSolv,256,random,RMSE,1.274,DMPNN
6,FreeSolv,512,random,RMSE,1.173,DMPNN
7,FreeSolv,1024,random,RMSE,0.784,DMPNN
8,FreeSolv,2048,random,RMSE,1.357,DMPNN
9,FreeSolv,4096,random,RMSE,0.914,DMPNN
10,ESOL,2,random,RMSE,0.733,DMPNN
11,ESOL,16,random,RMSE,0.672,DMPNN
12,ESOL,32,random,RMSE,0.785,DMPNN
13,ESOL,64,random,RMSE,0.673,DMPNN
14,ESOL,128,random,RMSE,0.733,DMPNN
15,ESOL,256,random,RMSE,0.609,DMPNN
16,ESOL,512,random,RMSE,0.535,DMPNN
17,ESOL,1024,random,RMSE,0.695,DMPNN
18,ESOL,2048,random,RMSE,0.76,DMPNN
19,ESOL,4096,random,RMSE,0.758,DMPNN
20,Malaria,2,random,RMSE,0.983,DMPNN
21,Malaria,16,random,RMSE,1.028,DMPNN
22,Malaria,32,random,RMSE,1.083,DMPNN
23,Malaria,64,random,RMSE,1.06,DMPNN
24,Malaria,128,random,RMSE,1.049,DMPNN
25,Malaria,256,random,RMSE,1.098,DMPNN
26,Malaria,512,random,RMSE,1.125,DMPNN
27,Malaria,1024,random,RMSE,1.04,DMPNN
28,Malaria,2048,random,RMSE,1.015,DMPNN
29,Malaria,4096,random,RMSE,1.028,DMPNN
