,task_name,seed,split,test_metric,test_performance,model
0,BACE,2,scaffold,ROC_AUC,0.886,MMNB-OOTB
1,BACE,16,scaffold,ROC_AUC,0.825,MMNB-OOTB
2,BACE,32,scaffold,ROC_AUC,0.857,MMNB-OOTB
3,BACE,64,scaffold,ROC_AUC,0.92,MMNB-OOTB
4,BACE,128,scaffold,ROC_AUC,0.787,MMNB-OOTB
5,BACE,256,scaffold,ROC_AUC,0.826,MMNB-OOTB
6,BACE,512,scaffold,ROC_AUC,0.942,MMNB-OOTB
7,BACE,1024,scaffold,ROC_AUC,0.902,MMNB-OOTB
8,BACE,2048,scaffold,ROC_AUC,0.928,MMNB-OOTB
9,BACE,4096,scaffold,ROC_AUC,0.849,MMNB-OOTB
10,BBBP,2,scaffold,ROC_AUC,0.939,MMNB-OOTB
11,BBBP,16,scaffold,ROC_AUC,0.907,MMNB-OOTB
12,BBBP,32,scaffold,ROC_AUC,0.837,MMNB-OOTB
13,BBBP,64,scaffold,ROC_AUC,0.863,MMNB-OOTB
14,BBBP,128,scaffold,ROC_AUC,0.931,MMNB-OOTB
15,BBBP,256,scaffold,ROC_AUC,0.933,MMNB-OOTB
16,BBBP,512,scaffold,ROC_AUC,0.913,MMNB-OOTB
17,BBBP,1024,scaffold,ROC_AUC,0.906,MMNB-OOTB
18,BBBP,2048,scaffold,ROC_AUC,0.909,MMNB-OOTB
19,BBBP,4096,scaffold,ROC_AUC,0.946,MMNB-OOTB
20,HIV,2,scaffold,ROC_AUC,0.755,MMNB-OOTB
21,HIV,16,scaffold,ROC_AUC,0.85,MMNB-OOTB
22,HIV,32,scaffold,ROC_AUC,0.828,MMNB-OOTB
23,HIV,64,scaffold,ROC_AUC,0.808,MMNB-OOTB
24,HIV,128,scaffold,ROC_AUC,0.807,MMNB-OOTB
25,HIV,256,scaffold,ROC_AUC,0.785,MMNB-OOTB
26,HIV,512,scaffold,ROC_AUC,0.731,MMNB-OOTB
27,HIV,1024,scaffold,ROC_AUC,0.826,MMNB-OOTB
28,HIV,2048,scaffold,ROC_AUC,0.771,MMNB-OOTB
29,HIV,4096,scaffold,ROC_AUC,0.83,MMNB-OOTB
0,ToxCast,2,random,ROC_AUC,0.745,MMNB-OOTB
1,ToxCast,16,random,ROC_AUC,0.756,MMNB-OOTB
2,ToxCast,32,random,ROC_AUC,0.749,MMNB-OOTB
3,ToxCast,64,random,ROC_AUC,0.759,MMNB-OOTB
4,ToxCast,128,random,ROC_AUC,0.776,MMNB-OOTB
5,ToxCast,256,random,ROC_AUC,0.751,MMNB-OOTB
6,ToxCast,512,random,ROC_AUC,0.754,MMNB-OOTB
7,ToxCast,1024,random,ROC_AUC,0.746,MMNB-OOTB
8,ToxCast,2048,random,ROC_AUC,0.767,MMNB-OOTB
9,ToxCast,4096,random,ROC_AUC,0.764,MMNB-OOTB
10,SIDER,2,random,ROC_AUC,0.694,MMNB-OOTB
11,SIDER,16,random,ROC_AUC,0.639,MMNB-OOTB
12,SIDER,32,random,ROC_AUC,0.686,MMNB-OOTB
13,SIDER,64,random,ROC_AUC,0.645,MMNB-OOTB
14,SIDER,128,random,ROC_AUC,0.671,MMNB-OOTB
15,SIDER,256,random,ROC_AUC,0.674,MMNB-OOTB
16,SIDER,512,random,ROC_AUC,0.685,MMNB-OOTB
17,SIDER,1024,random,ROC_AUC,0.693,MMNB-OOTB
18,SIDER,2048,random,ROC_AUC,0.666,MMNB-OOTB
19,SIDER,4096,random,ROC_AUC,0.629,MMNB-OOTB
20,Tox21,2,random,ROC_AUC,0.862,MMNB-OOTB
21,Tox21,16,random,ROC_AUC,0.845,MMNB-OOTB
22,Tox21,32,random,ROC_AUC,0.845,MMNB-OOTB
23,Tox21,64,random,ROC_AUC,0.848,MMNB-OOTB
24,Tox21,128,random,ROC_AUC,0.831,MMNB-OOTB
25,Tox21,256,random,ROC_AUC,0.853,MMNB-OOTB
26,Tox21,512,random,ROC_AUC,0.831,MMNB-OOTB
27,Tox21,1024,random,ROC_AUC,0.859,MMNB-OOTB
28,Tox21,2048,random,ROC_AUC,0.846,MMNB-OOTB
29,Tox21,4096,random,ROC_AUC,0.834,MMNB-OOTB
0,FreeSolv,2,random,RMSE,1.021,MMNB-OOTB
1,FreeSolv,16,random,RMSE,1.225,MMNB-OOTB
2,FreeSolv,32,random,RMSE,0.92,MMNB-OOTB
3,FreeSolv,64,random,RMSE,1.102,MMNB-OOTB
4,FreeSolv,128,random,RMSE,0.873,MMNB-OOTB
5,FreeSolv,256,random,RMSE,1.197,MMNB-OOTB
6,FreeSolv,512,random,RMSE,0.796,MMNB-OOTB
7,FreeSolv,1024,random,RMSE,0.7,MMNB-OOTB
8,FreeSolv,2048,random,RMSE,0.956,MMNB-OOTB
9,FreeSolv,4096,random,RMSE,0.998,MMNB-OOTB
10,ESOL,2,random,RMSE,0.625,MMNB-OOTB
11,ESOL,16,random,RMSE,0.622,MMNB-OOTB
12,ESOL,32,random,RMSE,0.68,MMNB-OOTB
13,ESOL,64,random,RMSE,0.642,MMNB-OOTB
14,ESOL,128,random,RMSE,0.671,MMNB-OOTB
15,ESOL,256,random,RMSE,0.632,MMNB-OOTB
16,ESOL,512,random,RMSE,0.531,MMNB-OOTB
17,ESOL,1024,random,RMSE,0.507,MMNB-OOTB
18,ESOL,2048,random,RMSE,0.605,MMNB-OOTB
19,ESOL,4096,random,RMSE,0.579,MMNB-OOTB
20,Malaria,2,random,RMSE,0.967,MMNB-OOTB
21,Malaria,16,random,RMSE,0.982,MMNB-OOTB
22,Malaria,32,random,RMSE,1.047,MMNB-OOTB
23,Malaria,64,random,RMSE,0.995,MMNB-OOTB
24,Malaria,128,random,RMSE,0.997,MMNB-OOTB
25,Malaria,256,random,RMSE,1.052,MMNB-OOTB
26,Malaria,512,random,RMSE,1.086,MMNB-OOTB
27,Malaria,1024,random,RMSE,0.967,MMNB-OOTB
28,Malaria,2048,random,RMSE,0.991,MMNB-OOTB
29,Malaria,4096,random,RMSE,0.981,MMNB-OOTB
