,task_name,seed,split,test_metric,test_performance,model
0,MUV,2,random,ROC_AUC,0.708,DMPNN
1,MUV,16,random,ROC_AUC,0.769,DMPNN
2,MUV,32,random,ROC_AUC,0.803,DMPNN
3,MUV,64,random,ROC_AUC,0.734,DMPNN
4,MUV,128,random,ROC_AUC,0.748,DMPNN
5,MUV,256,random,ROC_AUC,0.742,DMPNN
6,MUV,512,random,ROC_AUC,0.729,DMPNN
7,MUV,1024,random,ROC_AUC,0.795,DMPNN
8,MUV,2048,random,ROC_AUC,0.751,DMPNN
9,MUV,4096,random,ROC_AUC,0.696,DMPNN
10,PCBA,2,random,ROC_AUC,0.89,DMPNN
11,PCBA,16,random,ROC_AUC,0.883,DMPNN
12,PCBA,32,random,ROC_AUC,0.887,DMPNN
13,PCBA,64,random,ROC_AUC,0.885,DMPNN
14,PCBA,128,random,ROC_AUC,0.886,DMPNN
15,PCBA,256,random,ROC_AUC,0.894,DMPNN
16,PCBA,512,random,ROC_AUC,0.888,DMPNN
17,PCBA,1024,random,ROC_AUC,0.892,DMPNN
18,PCBA,2048,random,ROC_AUC,0.895,DMPNN
19,PCBA,4096,random,ROC_AUC,0.892,DMPNN
20,ChEMBL,2,random,ROC_AUC,0.71,DMPNN
21,ChEMBL,16,random,ROC_AUC,0.745,DMPNN
22,ChEMBL,32,random,ROC_AUC,0.699,DMPNN
23,ChEMBL,64,random,ROC_AUC,0.781,DMPNN
24,ChEMBL,128,random,ROC_AUC,0.709,DMPNN
25,ChEMBL,256,random,ROC_AUC,0.73,DMPNN
26,ChEMBL,512,random,ROC_AUC,0.773,DMPNN
27,ChEMBL,1024,random,ROC_AUC,0.739,DMPNN
28,ChEMBL,2048,random,ROC_AUC,0.795,DMPNN
29,ChEMBL,4096,random,ROC_AUC,0.698,DMPNN
0,MUV,2,random,PRC_AUC,0.081,DMPNN
1,MUV,16,random,PRC_AUC,0.03,DMPNN
2,MUV,32,random,PRC_AUC,0.135,DMPNN
3,MUV,64,random,PRC_AUC,0.079,DMPNN
