,task_name,fp_type,repeat_id,train_auc,valid_auc,test_auc
0,HIV,MorganFP,0,0.9023078050024748,0.7747036057221242,0.7193186426929836
1,HIV,MorganFP,1,0.9567668134227704,0.7767795904369978,0.7230209158152919
2,HIV,MorganFP,2,0.9557456736954038,0.7750266387419165,0.7234187605013616
3,HIV,RDkitFP,0,0.9338649978490989,0.742006846462865,0.726783058768999
4,HIV,RDkitFP,1,0.935905111537236,0.7299244929453264,0.7417524479035902
5,HIV,RDkitFP,2,0.9364115292803442,0.7459444811875368,0.7271133084841345
6,HIV,AtomPairFP,0,0.9519395119074616,0.8182824441504997,0.7839915795979064
7,HIV,AtomPairFP,1,0.9502337848926785,0.8185610792670978,0.7845497209293343
8,HIV,AtomPairFP,2,0.9512783892273693,0.8155787649421908,0.7885976940458487
9,HIV,TorsionFP,0,0.9145479617086314,0.8007177150695669,0.758349910195253
10,HIV,TorsionFP,1,0.8887820928164007,0.7796440206741133,0.7566156163695706
11,HIV,TorsionFP,2,0.9145781799194836,0.7898601312953165,0.7628459414048167
12,HIV,AvalonFP,0,0.9700329027362167,0.7882235327258474,0.7580022789161629
13,HIV,AvalonFP,1,0.9702268093301122,0.7827779002547521,0.7468201394387687
14,HIV,AvalonFP,2,0.9703195528381436,0.787675448265726,0.7557523320264972
15,HIV,EstateFP,0,0.8776431707561125,0.6761785346854792,0.7071969331196044
16,HIV,EstateFP,1,0.8960706919544821,0.6753610008818343,0.7072799783696093
17,HIV,EstateFP,2,0.8795573367868041,0.6817282725847541,0.7100359218988392
18,HIV,MACCSFP,0,0.9120356211961962,0.805312132569077,0.7389588443191255
19,HIV,MACCSFP,1,0.9081775194555042,0.7987733931020966,0.7372255161358852
20,HIV,MACCSFP,2,0.9106586293573173,0.7906608245149912,0.7404526931767705
21,HIV,PharmacoErGFP,0,0.8725809796790092,0.7728848226533411,0.7262587149230383
22,HIV,PharmacoErGFP,1,0.9025885088576522,0.7838357951205174,0.7331263639699492
23,HIV,PharmacoErGFP,2,0.8716442920337106,0.7731037502449539,0.7265793082137546
24,HIV,PharmacoPFP,0,0.8636348386291154,0.7791862629825593,0.7348152726008614
25,HIV,PharmacoPFP,1,0.8638505951167782,0.7794388717421125,0.7380298962900018
26,HIV,PharmacoPFP,2,0.8661122449418969,0.7814184058397021,0.7378232488074317
27,HIV,PubChemFP,0,0.940697530113639,0.8146754972565158,0.7437339461944033
28,HIV,PubChemFP,1,0.9060405101387609,0.8129516338428375,0.7498783290523185
29,HIV,PubChemFP,2,0.9110001540898081,0.8121448167744464,0.7488199849359779
30,HIV,MHFP6,0,0.8762850044268782,0.6227724500293945,0.7115046640529944
31,HIV,MHFP6,1,0.8793799874144612,0.5934820816186557,0.7118271886285946
32,HIV,MHFP6,2,0.8738420837822067,0.6092035322359397,0.7092769269394928
33,HIV,MAP4,0,0.8764922644455863,0.7188939104448363,0.743861410996736
34,HIV,MAP4,1,0.9385426179807119,0.7357528659611994,0.7196913806755635
35,HIV,MAP4,2,0.9320531354559111,0.7258016117969821,0.7353019563915874
36,BACE,MorganFP,0,0.9518879653558705,0.7514214641080312,0.8043478260869565
37,BACE,MorganFP,1,0.9524439477544178,0.7515991471215351,0.8072463768115942
38,BACE,MorganFP,2,0.9613983376405671,0.756041222459133,0.8079710144927535
39,BACE,RDkitFP,0,0.7933337989802333,0.5792466240227434,0.7597826086956521
40,BACE,RDkitFP,1,0.7939973458126702,0.5799573560767591,0.7594202898550725
41,BACE,RDkitFP,2,0.7921729412586436,0.580135039090263,0.7594202898550724
42,BACE,AtomPairFP,0,0.9337263393168959,0.7077114427860697,0.831159420289855
